index,question,answer,support_category,question_needs,mentioned_extensions,top1_score,top1_extension,top1_relative_path,top1_preview
12,京橋信用ソリューションズの契約金額（税込）はいくらですか。,"5,775,000円",形式不明,計算・集計,,140.1207,.md,プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md,"# source_path: プロジェクト/京橋信用ソリューションズ株式会社/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 京橋信用ソリューションズ株式会社 # major_folder: 03.データ | カラム名 | データ型 | 説明 | データの例 | | --- | --- | --- | --- | | **id** | 整数 | 顧客の一意の識別ID | `1`, `2` | | **age** | 整数 | 顧客の..."
13,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,1526,形式不明,計算・集計,,295.6973,.csv,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,"# source_path: プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 青葉与信マネジメント株式会社 # major_folder: 03.データ # CSVファイル: train.csv - 行数: 17500 - 列数: 10 - 区切り文字: ',' - 列名: id, loan_amnt, term, interest_rate, grade, employment_l..."
14,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,アサインされていない,形式不明,未分類,,118.342,.md,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md,# source_path: プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 03.データ ### train.csv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | id | int | インデックスとして使用 | | 1 | Age | int ...
15,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,MINAMINO、SHR、AYM,形式不明,未分類,,43.5786,.md,プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md,# source_path: プロジェクト/株式会社青潮モビリティサービス/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 株式会社青潮モビリティサービス # major_folder: 03.データ ### train.tsv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | id | int | インデックスとして使用 | | 1 | dteday | dat...
16,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,43日,形式不明,計算・集計,,47.6834,.md,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md,# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 03.データ ### train.csv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | index | int | インデックスとして使用 |...
19,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,渡辺 遥,形式不明,未分類,,122.8758,.py,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/__init__.py,# source_path: プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/__init__.py # file_name: __init__.py # extension: .py # area: プロジェクト # project_name: 株式会社青嶺不動産アセットマネジメント # major_folder: 04.分析
20,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,T09、T10、T11、T12,形式不明,未分類,,21.5435,.ipynb,プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,"ppend(f""レコード数: {len(df):,}"") summary_rows.append(f""列数: {df.shape[1]:,}"") summary_rows.append(f""欠損率上位列: {', '.join((df.isna().mean()*100).sort_values(ascending=False).head(3).index.tolist())}"") summary_rows.append(f""数値列数: {len(df.select_dtypes(include=['number']).columns)}"") summa..."
21,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,形式不明,"表・セル, コード読解, 計算・集計",,119.2215,.md,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md,# source_path: プロジェクト/株式会社青葉バイオメディカル機器/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 03.データ ### train.csv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | id | int | インデックスとして使用 | | 1 | Age | int ...
23,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,"見込金額（税込）: 4,675,000 JPY",対象外形式の可能性が高い,書式抽出,,41.9119,.md,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/カラム説明.md,# source_path: プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 医療法人社団 蒼泉会 ひがし丘総合病院 # major_folder: 03.データ ### train.csv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | id | int | インデックスとして使用 | | 1 | age ...
24,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,Attr7,EDA002対象形式を明示,Notebook読解,.ipynb,573.3798,.ipynb,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,"> 0 else pd.DataFrame() plt.figure(figsize=(12, 10)) if corr_mat.shape[0] > 0: sns.heatmap(corr_mat, cmap='coolwarm', center=0, square=True) plt.title('特徴量相関ヒートマップ') else: plt.text(0.5, 0.5, '相関を計算できる数値列が不足しています', ha='center', va='center') plt.title('特徴量相関ヒートマップ') plt.tight_layou..."
25,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,1. データ理解・EDA,対象外形式の可能性が高い,表・セル,,102.1874,.py,プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/__init__.py,# source_path: プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/__init__.py # file_name: __init__.py # extension: .py # area: プロジェクト # project_name: 株式会社東都人材プラットフォーム # major_folder: 04.分析
26,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,train_0077、train_0216、train_0242、train_0722,形式不明,"CSV/JSON読解, 計算・集計",,440.0064,.csv,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,"# source_path: プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv # file_name: train.csv # extension: .csv # area: プロジェクト # project_name: 株式会社青葉バイオメディカル機器 # major_folder: 03.データ # CSVファイル: train.csv - 行数: 735 - 列数: 33 - 区切り文字: ',' - 列名: id, Age, Attrition, BusinessTravel, DailyRate, Depart..."
27,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,0.010301,EDA002対象形式で拾える可能性あり,"CSV/JSON読解, 計算・集計",,297.1214,.json,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/metrics.json,# source_path: プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/metrics.json # file_name: metrics.json # extension: .json # area: プロジェクト # project_name: 医療法人社団 蒼泉会 ひがし丘総合病院 # major_folder: 04.分析 # JSONファイル: metrics.json - top_level_type: dict - item_count: 18 - top_level_keys: t...
28,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,object、string、categoricaldtype の列を候補とし、欠損を除いたユニーク数が50未満ならカテゴリ特徴量として採用している。,EDA002対象形式で拾える可能性あり,コード読解,,72.7324,.ipynb,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,"for row in summary_rows: print(f""- {row}"") ### outputs_limited 【EDAサマリー】 行数: 1600 列数: 8 数値列数: 5 カテゴリ列数: 0 総欠損数: 0 【目的変数の要約】 charges 0 1256 1 198 2 146 Name: count, dtype: int64 【列ごとのユニーク数】 id 1600 bmi 1600 age 47 children 6 region 4 charges 3 sex 2 smoker 2 dtype: int64"
29,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,3年間,対象外形式の可能性が高い,未分類,,152.9517,.md,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md,# source_path: プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/カラム説明.md # file_name: カラム説明.md # extension: .md # area: プロジェクト # project_name: 医療法人社団 蒼樹会 みなみ野女性医療センター # major_folder: 03.データ ### train.csv | カラム | ヘッダ名称 | データ型 | 説明 | | --- | --- | --- | --- | | 0 | index | int | インデックスとして使用 |...
