index,question,answered,answer,confidence,route,method,reason,elapsed_seconds,evidence_count
38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,True,該当なし。契約金額（税込）の合計は0円。,0.95,audit_generalization,approval_policy_cross_project_apply,,2.521899,1
39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,True,hum,0.98,remaining50_generalization,xlsx_chartex_series_label,,2.282978,1
40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,True,"1位：2025年10月 11,412,500円、2位：2025年9月 9,858,750円、3位：2025年8月 8,118,000円",0.98,remaining50_generalization,cross_project_monthly_settlement_ranking,,25.214402,13
41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,True,11件,0.98,remaining50_generalization,schedule_owner_task_count,,2.310555,1
42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,True,sex=female、smoker=yes、region=southeastで抽出したcharges=2のデータに対するbmiの平均：35.95093,0.98,audit_generalization,xlsx_yellow_pivot_recompute,,2.251372,2
43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,True,石川 直樹,0.99,base_recovery,document_client_name_extract,,4.767862,1
44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,True,鈴木,0.95,base_recovery,local_ocr_spatial_layout,,13.474844,1
45,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,True,A01、A02、A03、A07、A08、A09、A10,0.99,audit_generalization,minutes_action_state_transition,,2.315676,2
46,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,True,7201,0.98,remaining50_generalization,max_upfront_payment_es_seat_lookup,,10.854134,2
47,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,True,1899年,0.99,audit_generalization,xlsx_formula_reference_positional_raw_row,,11.205171,2
48,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,True,100万ドル超～500万ドル以下,0.94,audit_generalization,pdf_rate_band_min_absolute_change,,2.409885,1
49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,True,WBS・進捗管理台帳確定（タスク割振・ガント更新）,1.0,base_recovery,docx_commented_range_text,,4.496863,1
50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,True,"13,222ドル",0.98,remaining50_generalization,docx_nested_salary_table_difference,,2.307795,1
51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,True,第6週～第8週,1.0,base_recovery,pptx_timeline_geometry_range,,4.514374,1
52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,True,監視ダッシュボード構築,0.98,remaining50_generalization,final_report_separate_contract_role,,12.833186,1
53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,True,6,0.98,remaining50_generalization,final_report_engineered_feature_count,,2.280778,1
54,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,True,0.50534,0.98,remaining50_generalization,docx_embedded_chart_point_lookup,,2.28045,1
55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,True,AOMINE,0.98,remaining50_generalization,tm_estimate_actual_hours_gap,,25.283204,2
56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,True,1200,0.98,remaining50_generalization,target_distribution_axis_tick_recompute,,2.889955,2
57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,True,0.42396,0.98,remaining50_generalization,regression_threshold_f1_optimization,,2.49003,2
58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,True,7103,0.95,base_recovery,local_ocr_spatial_layout,,12.959211,1
59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,True,13ページ,0.99,base_recovery,precise_page_lookup,,4.6218,1
60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,True,AI-05、AI-08、AI-09,1.0,base_recovery,open_action_ids_slide_extract,,4.53858,1
61,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,True,n_estimators=300、learning_rate=0.1、random_state=42,1.0,base_recovery,runtime_parameter_config_resolution,,4.527416,3
62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,True,上位2件はいずれもextra_treesで、n_estimatorsが500と300で異なる。,0.98,remaining50_generalization,leaderboard_top2_parameter_diff,,2.287681,1
63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,True,0.15002,0.98,remaining50_generalization,regression_coeff_prediction,,2.322282,2
64,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,True,80～130時間,0.98,remaining50_generalization,future_phase_hours_sum,,11.067263,1
65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,True,Sheet2は相関係数が-0.9未満のセルが黄色ハイライト、Sheet3は相関係数が-0.99未満のセルが黄色ハイライト。,0.98,remaining50_generalization,xlsx_conditional_format_thresholds,,2.867706,2
66,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,True,20日,0.98,remaining50_generalization,date_feature_peak_day_recompute,,2.31267,2
67,完了案件のうち、社内管理のAPRでAPR-M2に該当する案件の中で、提案時金額とFR時の金額が異なる案件を案件略称ですべて挙げてください。,True,AOMINE、AOSHIO、AOBM,0.98,remaining50_generalization,apr_rule_and_proposal_final_amount_change,,21.656084,6
68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,True,1.3986,0.98,remaining50_generalization,pdf_formula_page_values,,18.257526,1
69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,True,第5週～第6週,1.0,base_recovery,pptx_timeline_geometry_range,,4.654754,1
70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,True,AI-05,0.96,audit_generalization,bounded_ocr_report_minutes_action_join,,12.17152,2
71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,True,"4,250,000円",1.0,audit_generalization,docx_multi_format_intersection,,2.354848,1
72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,True,5件（T03、T07、T11、T12、T25）,0.98,remaining50_generalization,schedule_role_task_count,,2.307121,2
73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,True,カテゴリ数閾値は100（ユニーク数100未満）。対象列はGender。,1.0,base_recovery,onehot_feature_plan_and_schema_resolution,,4.691397,2
74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,True,プロジェクト体制のビジネスアナリストが藤田 彩から井上 里奈に変更された。,0.98,remaining50_generalization,pptx_role_semantic_diff,,2.340857,2
75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,True,第4週,1.0,base_recovery,pptx_timeline_geometry_range,,4.525742,1
76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。",True,"79,200円増加",0.98,remaining50_generalization,tm_rate_hours_sensitivity,,2.487195,2
77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,True,"children=3、smoker=noで抽出したageの合計：4,674",0.98,audit_generalization,xlsx_yellow_pivot_recompute,,2.451736,2
78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,True,"ACTHが200時間を超えても上限精算にはならず、実績工数を30分単位（30分未満切り上げ）で集計し、時間単価25,000円（税別）を乗じて月次精算する。",1.0,base_recovery,contract_overrun_settlement_rule,,5.168317,8
79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,True,池田 直哉、7.00時間/タスク,0.98,remaining50_generalization,resource_hours_per_assigned_task,,2.315513,1
80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,True,Gender=Male、target=3、Age=30-34、Profession=Software Engineerで抽出した件数：61,0.98,audit_generalization,embedded_table_yellow_hierarchy_recompute,,4.592827,2
81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,True,契約締結日兼効力発生日：2025-10-01,1.0,base_recovery,office_run_format_exact_extract,,4.473919,1
82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,True,T02、T14、T16、T22、T24,0.98,remaining50_generalization,xlsx_orange_row_extract,,2.298498,5
83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,True,0.38317,0.99,audit_generalization,xlsx_regression_recompute,,2.526564,9
84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,True,5ページ,1.0,base_recovery,pptx_ranked_metric_display_page,,4.524265,1
85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,True,該当なし（全6項目が達成）,0.98,base_recovery,kpi_unmet_none_extract,,4.490361,1
86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,True,19人,0.97,audit_generalization,structured_cross_project_role_person_dedup,,3.675572,80
87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,True,AYM,0.98,remaining50_generalization,apr_rule_and_sample_count_filter,,4.46714,1
88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,True,解釈・業務示唆整理,1.0,base_recovery,pptx_timeline_geometry_item_at_week,,4.61692,1
89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,True,最終報告・成果物提出・検収会,1.0,base_recovery,schedule_phase_last_start_task,,4.565264,1
90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,True,8時間,1.0,base_recovery,schedule_buffer_hours_sum,,4.52534,1
91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,True,campaign,1.0,base_recovery,table_strongest_negative_correlation,,4.565027,2
92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,True,49,1.0,audit_generalization,structured_role_scoped_id_total,,2.816716,5
93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,True,前処理パイプライン実装：0値を疑似欠損（NA）扱いの処理と補完ロジック（中央値等）の実装・ドキュメント化,0.98,remaining50_generalization,image_pdf_action_table_geometry_ocr,,11.714285,1
94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,True,T09,0.99,base_recovery,schedule_milestone_role_task_ids,,4.638746,1
95,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,True,T15の担当者が「渡辺 遥」から「渡辺 遥 / 小林 直樹」に変更された。,0.95,base_recovery,xlsx_semantic_diff,,15.3468,2
96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,True,T05、T06、T07、T08,1.0,base_recovery,schedule_checkpoint_related_task_ids,,4.611099,1
97,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,True,272,0.98,remaining50_generalization,xlsx_highlight_band_intersection_difference,,3.085385,2
98,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,True,2025年7月1日,0.98,remaining50_generalization,tm_rate_change_effective_month_inference,,4.35786,2
99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,True,2.49倍,0.98,remaining50_generalization,displayed_rank_mortality_ratio,,2.512644,1
