dataset,question_id,question,label_source,required_documents,primary_document,supporting_documents,required_document_count,label_confidence,label_is_complete,ambiguity,notes,generated_by,source,confidence,requires_manual_review
test,14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,2,human_final_source,True,False,Human review marked the source set as correct; 部分正解,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,,1,human_final_source,True,False,Human review marked the source set as correct; 正解,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,human_review.human_sorce_files,data\processed\share\share\契約管理\project_contract_periods.csv | data\processed\share\share\契約管理\project_payment_schedule.csv | data\processed\share\share\契約管理\payment_monthly_totals.csv,data\processed\share\share\契約管理\project_contract_periods.csv,data\processed\share\share\契約管理\project_payment_schedule.csv | data\processed\share\share\契約管理\payment_monthly_totals.csv,3,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,human_review.human_sorce_files,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx | share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv,2,human_final_source,True,False,Human review marked the source set as correct; 正解,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v2.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v2.pptx,2,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,human_review.human_sorce_files,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,,1,human_reviewed_source,False,True,"Human file was inspected, but final-source completeness is not explicit; 不正解",offline_label_quality_audit,EDA064 human_source_labels.csv,medium,True
test,2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,2,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,,1,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
test,92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,gate19_answer_results,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,4,formal_evidence,True,False,Gate19 actual selected files; offline evaluation only,offline_label_quality_audit,EDA064 human_source_labels.csv,high,False
