company_group,related_companies,index,question,current_answer,source_files,source_confidence,answer_status,human_answer,human_review,human_sorce_files
医療法人社団 恒一会 かえで総合病院,株式会社東都人材プラットフォーム,92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,41件,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx,low,answered,49,不正解,
医療法人社団 蒼樹会 みなみ野女性医療センター,,28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,Age,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,medium,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,,52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,契約範囲外の追加対応,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx.md,medium,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,青葉与信マネジメント株式会社 / 医療法人社団 恒一会 かえで総合病院 / 医療法人社団 蒼泉会 ひがし丘総合病院 / 株式会社青潮モビリティサービス,55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,かえで総合病院,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/報告資料_2025-08-06.docx,low,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,医療法人社団 恒一会 かえで総合病院 / 株式会社東都人材プラットフォーム / 白峰信用リスク評価株式会社,65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,相関係数シートで、相関係数の絶対値が0.5を超えるセル(例:Attr2 と Attr3 の相関係数 -0.9960099740512748)が黄色ハイライトされます。,share/共有ドライブ/社内管理/社内用語集.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx,low,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,,75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,第4週,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx.sheets/スケジュール管理表.csv,medium,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,,83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,0.38317,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.sheets/Sheet1.csv | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx.sheets/train.csv,medium,answered,0.38317,正解,
医療法人社団 蒼樹会 みなみ野女性医療センター,,88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,解釈分析・特徴量整理、業務活用示唆整理、最終報告書ドラフト作成,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,low,answered,解釈分析・特徴量整理,部分正解,
医療法人社団 蒼樹会 みなみ野女性医療センター,青葉与信マネジメント株式会社,94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,[],share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/02.計画/スケジュール.xlsx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf,low,answered,,,
医療法人社団 蒼樹会 みなみ野女性医療センター,,99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,3.00,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,low,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,bmi,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,medium,answered,bmi,正解,
医療法人社団 蒼泉会 ひがし丘総合病院,,6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,0円,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,medium,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,3,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx.md,medium,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,398750円,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,medium,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,Sheet1!F22=33.022105717、条件: col_4=1、col_5=35.9、集計: col_6,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json,medium,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,1256,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,medium,answered,1200,不正解,
医療法人社団 蒼泉会 ひがし丘総合病院,,77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,Sheet2!E14=6746、条件: col_2=northwest、col_3=6103.852518680003、col_4=3、集計: col_5,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx.structure.json,medium,answered,,,
医療法人社団 蒼泉会 ひがし丘総合病院,,82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,T02、T14、T16、T22、T24,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx.structure.json,medium,answered,"T02, T14, T16, T22, T24",正解,
株式会社東都人材プラットフォーム,,8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,"14,744ドル。",share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,medium,answered,,,
株式会社東都人材プラットフォーム,,15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,"Country: Spain, 個数: 12.0",data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json,medium,answered,,,
株式会社東都人材プラットフォーム,,20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,"渡辺遥: T07, T09, T10 藤田彩: T12",share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-08-18.pdf,medium,answered,,,
株式会社東都人材プラットフォーム,,49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,WBS・進捗管理台帳確定（タスク割振・ガント更新）,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,medium,answered,,,
株式会社東都人材プラットフォーム,,50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,"81,820ドル",share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,medium,answered,,,
株式会社東都人材プラットフォーム,,53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,0,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/notebooks/01_eda.ipynb.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/features.py.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv.structure.json,medium,answered,,,
株式会社東都人材プラットフォーム,,59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,2ページ,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,low,answered,,,
株式会社東都人材プラットフォーム,,68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,0.5,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンス市場の未来予測.pdf | share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,low,answered,,,
株式会社東都人材プラットフォーム,青葉与信マネジメント株式会社 / 医療法人社団 恒一会 かえで総合病院 / 京橋信用ソリューションズ株式会社,72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,0,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/会議録/会議録_2025-10-01.pdf,low,answered,5,不正解,
株式会社東都人材プラットフォーム,医療法人社団 恒一会 かえで総合病院 / 医療法人社団 蒼泉会 ひがし丘総合病院,76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。","22,400円",share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/06.報告書/株式会社東都人材プラットフォーム_最終報告.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx | share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,low,answered,,,
株式会社東都人材プラットフォーム,,80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,抽出条件はGender=Male、target=2、Age=40-44、Country=Spain。集計内容は個数=12。,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.sheets/Sheet1.csv,medium,answered,,,
株式会社青嶺不動産アセットマネジメント,,2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,プロジェクトキックオフ実施、中間報告会実施、最終報告会実施,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx.structure.json,medium,answered,プロジェクトキックオフ実施、中間報告会実施、最終報告会実施,正解,
