document_id,extension,relative_path,extraction_method,size_bytes,text_length,line_count,text_preview
doc_2e564b10712622dc,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-22.docx,docx_paragraphs_tables_basic_styles,20029,17493,1030,# DOCXファイル: 報告資料_2025-07-22.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: First Paragraph 本報告書は、2025-07-22（M02：中間報告）時点における「医療費関連の価格帯分類と要因分析プロジェクト」の進捗状況を整理した中間分析報告である。対象期間は 2025-07-08 ～ 2025-07-22 とする。 ### run_styles - bold: 2025-07-22（M02：中間報告）時点 - bold: 2025-07-08 - bold: ～ - bold: 2025-07-22 ## paragraph_004 - style: Body Text 現時点の到達状況は、Report facts JSON.analysis.checkpoint_stage = interim に従い、データ理解・基礎集計および初期モデリング結果の共有段...
doc_3e998be1dff74623,.xlsx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,20344,15630,160,"# XLSXファイル: スケジュール.xlsx ## sheet: WBS - size: rows=26, cols=12 - visible_state: visible - auto_filter: A1:L26 - freeze_panes: A4 row_00001: No | フェーズ | タスクID | タスク名 | 詳細・内容 | 担当者 | 開始日 | 終了日 | 依存タスク | 成果物 | ステータス | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=solid/font_color=FFFF..."
doc_9845fa9ae2975daf,.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-07-11.docx,docx_paragraphs_tables_basic_styles,19898,14777,819,# DOCXファイル: 報告資料_2025-07-11.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: Compact 報告時点: M02（2025-07-11、EDAレビュー・中間報告） ### run_styles - bold: 報告時点 ## paragraph_004 - style: Compact 報告対象期間: 2025-06-23 ～ 2025-07-11 ### run_styles - bold: 報告対象期間 ## paragraph_005 - style: Compact 現在ステージ: 中間報告（interim） ### run_styles - bold: 現在ステージ ## paragraph_006 - style: Compact 総評: 立上げ～EDA～初期モデル評価までを予定どおり中間報告時点まで進行できている。 キックオフで合意した「実データ準拠」「集...
doc_0ccc84492f7fdc07,.xlsx,プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,21093,13727,99,"# XLSXファイル: スケジュール.xlsx ## sheet: sheet1 - size: rows=25, cols=14 - visible_state: visible - auto_filter: A2:N25 - freeze_panes: A3 row_00001: WBSタスク一覧 | | | | | | | | | | | | | row_00002: タスクID | フェーズ | フェーズ期間 | タスク名 | 詳細・備考 | 担当者 | 開始日 | 終了日 | 稼働日数 | 依存タスク | 成果物 | ステータス | クリティカルパス | 備考 styles: A2:bold/fill=solid/font_color=FFFFFFFF; B2:bold/fill=solid/font_color=FFFFFFFF; C2:bold/fill=solid/font_color=FFFFFFFF; D2:bold/fill=solid/font_color=FFFFFFFF; E2:bold/fill=solid/font_color=FFFFFFFF; F2:..."
doc_784c013376c57771,.xlsx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,172360,13268,222,"# XLSXファイル: train.xlsx ## sheet: Sheet1 - size: rows=48, cols=6 - visible_state: visible row_00003: sex | smoker | region | charges | 平均 / age | 平均 / bmi row_00004: female | no | northeast | 0 | 38.78616352201258 | 31.394358938364782 row_00005: | | | 1 | 45.666666666666664 | 29.654695227500003 row_00006: | | northwest | 0 | 38.536144578313255 | 32.20738668879519 row_00007: | | | 1 | 45.214285714285715 | 31.92261871357143 row_00008: | | southeast | 0 | 35.856 | 34.729224861199995 row_00009: | | |..."
doc_5949d3e457c5c26d,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-08-05.docx,docx_paragraphs_tables_basic_styles,18196,13072,757,# DOCXファイル: 会議録_2025-08-05.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M03 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: 最終報告 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-08-05 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: 5週目の完了ゲートとして、charges 3クラス分類の最終評価、重要変数、価格帯セグメント定義、高価格帯関連要因、再現可能な分析手順、制約と次フェーズ示唆を報告する ### run_styles - bold: 目的 ## paragraph_0...
doc_80dfdaf9e66a75e1,.docx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,docx_paragraphs_tables_basic_styles,30690,12182,345,# DOCXファイル: 糖尿病統計情報.docx ## paragraph_001 - style: Normal 糖尿病における世界的・国内的統計情報の網羅的分析と公衆衛生上のインプリケーション：21世紀のパンデミックに対する疫学的考察 ### run_styles - bold: 糖尿病における世界的・国内的統計情報の網羅的分析と公衆衛生上のインプリケーション：21世紀のパンデミックに対する疫学的考察 ## paragraph_002 - style: Normal 世界における糖尿病パンデミックの現状と2045年までの将来予測 ### run_styles - bold: 世界における糖尿病パンデミックの現状と2045年までの将来予測 ## paragraph_003 - style: Normal 21世紀の公衆衛生において、糖尿病は最も急速に拡大している非感染性疾患（NCDs）の一つであり、その規模は「パンデミック」と呼ぶに相応しい未曾有の事態に至っている 。国際糖尿病連合（IDF）が発行した「IDF 糖尿病アトラス第10版」によれば、2021年時点で世界全体における20歳か...
doc_3d1ff46b22407dc2,.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-25.docx,docx_paragraphs_tables_basic_styles,17876,11965,646,# DOCXファイル: 会議録_2025-07-25.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M03 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: 最終報告・検収会 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-25 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 案件名: 離職要因分析・離職リスク検知 初期分析プロジェクト ### run_styles - bold: 案件名 ## paragraph_007 - style: Compact 目的: 最終分析結果と施策示唆および公平性留意点を報告し、成果物...
doc_05283ca2757f400e,.xlsx,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,xlsx_sheet_values_formulas_basic_styles,203417,11939,153,"# XLSXファイル: train.xlsx ## sheet: Sheet1 - size: rows=33, cols=10 - visible_state: visible - auto_filter: A16:I25 row_00001: 概要 | | | | | | | | | row_00003: 回帰統計 | | | | | | | | | row_00004: 重相関 R | 0.37420501012081375 | | | | | | | | row_00005: 重決定 R2 | 0.14002938959951833 | | | | | | | | row_00006: 補正 R2 | 0.1377292341721683 | | | | | | | | row_00007: 標準誤差 | 0.3960823631066126 | | | | | | | | row_00008: 観測数 | 3000 | | | | | | | | row_00010: 分散分析表 | | | | | | | | | row_00011: | 自由度 | 変動 | 分散 | 観..."
doc_c85fa44d4e34232a,.xlsx,プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,20565,11843,102,"# XLSXファイル: スケジュール.xlsx ## sheet: WBS - size: rows=25, cols=12 - visible_state: visible - auto_filter: A1:L25 - freeze_panes: A2 row_00001: タスクID | フェーズ | タスク名 | 詳細・成果物 | 担当者 | 開始日 | 終了日 | 日数 | 依存タスク | クリティカルパス | ステータス | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=solid/font_colo..."
doc_b42c3a03868c7638,.xlsx,プロジェクト/株式会社東都人材プラットフォーム/02.計画/スケジュール.xlsx,xlsx_sheet_values_formulas_basic_styles,16651,11735,72,"# XLSXファイル: スケジュール.xlsx ## sheet: スケジュール - size: rows=33, cols=12 - visible_state: visible - auto_filter: A1:L33 row_00001: No. | 区分 | フェーズ | タスクID | タスク名 | 詳細・成果物 | 担当者 | 開始日 | 終了日 | 依存タスク | ステータス | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=solid/font_color=FFFFFFFF; H1:bold/f..."
doc_5bad6e2838083174,.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx,docx_paragraphs_tables_basic_styles,17764,11466,630,# DOCXファイル: 報告資料_2025-06-23.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: Compact 対象チェックポイントは M01（2025-06-23、キックオフ） です。 ### run_styles - bold: M01（2025-06-23、キックオフ） ## paragraph_004 - style: Compact 本報告は、2025-06-23時点のプロジェクト立上げ状況を整理した中間分析報告です。 ### run_styles - bold: 2025-06-23時点 ## paragraph_005 - style: Compact Report facts JSON.analysis.checkpoint_stage が kickoff のため、本時点では分析実装前の計画・前提整理フェーズとして扱います。 ### run_styles - bold: ...
doc_e59919d431afbd4f,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx,docx_paragraphs_tables_basic_styles,18747,11466,572,# DOCXファイル: 報告資料_2025-07-08.docx ## paragraph_001 - style: Heading 1 分析進捗報告書 ## paragraph_002 - style: Heading 2 1. 報告サマリー ## paragraph_003 - style: Compact 対象チェックポイントは M01（2025-07-08、キックオフ） です。 ### run_styles - bold: M01（2025-07-08、キックオフ） ## paragraph_004 - style: Compact 本報告は、キックオフ時点の暫定状況を整理したものであり、Report facts JSON.analysis.checkpoint_stage = kickoff に従い、実装前・分析着手前の状態として記載しています。 ### run_styles - bold: キックオフ時点の暫定状況 - bold: 実装前・分析着手前の状態 ## paragraph_005 - style: Compact 現時点の分析実装状況は planning_only...
doc_332520f52f752433,.docx,プロジェクト/白峰信用リスク評価株式会社/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,18690,11370,642,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 白峰信用リスク評価株式会社（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、企業財務指標に基づく3年後倒産予測モデルの企画・分析・初期実装方針策定に関する業務委託について、以下のとおりデータ分析業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日および効力発生日は、いずれも 2025-05-13 とする。 ### run_styles - bold: 2025-05-13 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 会社名：白峰信用リスク評価株式会社 ## paragr...
doc_fda8f23a0f476eb5,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-22.docx,docx_paragraphs_tables_basic_styles,17263,11186,638,# DOCXファイル: 会議録_2025-07-22.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M02 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: 中間報告 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-22 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: 3週目マイルストーンとして、基礎集計、クラス不均衡の確認、初期モデル結果、重要変数の暫定傾向、高価格帯候補群の特徴仮説を共有し、最終化に向けた分析方針を固める ### run_styles - bold: 目的 ## paragraph_007 -...
doc_303ddff4263c05ea,.docx,プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,18678,11035,635,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 株式会社青潮モビリティサービス（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、モビリティ需要予測分析プロジェクトに関し、以下のとおりデータ分析業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日兼効力発生日は、2025-07-23とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 会社名：株式会社青潮モビリティサービス ## paragraph_007 - style: Compact 部署名：事業企画本部 オペレーション戦略部 ## paragraph_008 -...
doc_527db8b1faf99797,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,19050,10982,579,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 医療法人社団 蒼泉会 ひがし丘総合病院（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、医療費関連の価格帯分類と要因分析プロジェクトに関し、以下のとおりデータ分析業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日および効力発生日は、いずれも2025-07-08とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 名称：医療法人社団 蒼泉会 ひがし丘総合病院 ## paragraph_007 - style: Compact 主管部署：医療情報部 データ戦略推進課 ##...
doc_54e93d29420dba60,.docx,社内管理/社内用語集.docx,docx_paragraphs_tables_basic_styles,36649,10893,346,# DOCXファイル: 社内用語集.docx ## paragraph_001 - style: Normal データアステル社内用語集 ### run_styles - bold: データアステル社内用語集 ## paragraph_002 - style: Normal 本資料は、社内共有フォルダ上で利用する略語・社内用語を整理したものである。 ## paragraph_003 - style: Normal 1. 文書・成果物 ### run_styles - bold: 1. 文書・成果物 ## paragraph_004 - style: Normal 2. 会議・進捗 ### run_styles - bold: 2. 会議・進捗 ## paragraph_005 - style: Normal 3. 契約・請求・承認 ### run_styles - bold: 3. 契約・請求・承認 ## paragraph_006 - style: Normal 4. データ・分析 ### run_styles - bold: 4. データ・分析 ## paragraph_007 -...
doc_acdb87e1dd8dc538,.xlsx,プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,xlsx_sheet_values_formulas_basic_styles,16084,10852,53,"# XLSXファイル: スケジュール_r2.xlsx ## sheet: スケジュール - size: rows=26, cols=15 - visible_state: visible - freeze_panes: A8 row_00001: No. | フェーズ | タスクID | タスク名 | 詳細・内容 | 担当者 | 開始日 | 終了日 | 依存タスク | 成果物 | ステータス | クリティカルパス | マイルストーン | チェックポイント | 備考 styles: A1:bold/fill=solid/font_color=FFFFFFFF; B1:bold/fill=solid/font_color=FFFFFFFF; C1:bold/fill=solid/font_color=FFFFFFFF; D1:bold/fill=solid/font_color=FFFFFFFF; E1:bold/fill=solid/font_color=FFFFFFFF; F1:bold/fill=solid/font_color=FFFFFFFF; G1:bold/fill=soli..."
doc_7bdb84e0125662cf,.docx,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/会議録/会議録_2025-07-08.docx,docx_paragraphs_tables_basic_styles,16737,10629,658,# DOCXファイル: 会議録_2025-07-08.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M01 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: キックオフ ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-08 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 目的: プロジェクト開始時点で目的変数 charges の定義、対象範囲、5週間の進行計画、会議運営、医療データ取扱い上の留意点を確認し、分析着手条件をそろえる ### run_styles - bold: 目的 ## paragraph_007 - s...
doc_041e36455405b2be,.docx,プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,18761,10383,548,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 株式会社青嶺不動産アセットマネジメント（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、不動産売買価格分析 初期診断プロジェクトに関し、以下のとおりデータ分析業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日兼効力発生日は、2025-08-06とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 会社名：株式会社青嶺不動産アセットマネジメント ## paragraph_007 - style: Compact 部署名：資産運用本部 レジデンシャル戦略部 ## para...
doc_57047cb470004a44,.docx,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,docx_paragraphs_tables_basic_styles,18644,10300,511,# DOCXファイル: 契約書.docx ## paragraph_001 - style: Heading 1 データ分析業務委託契約書 ## paragraph_002 - style: First Paragraph 京橋信用ソリューションズ株式会社（以下「甲」という。）と株式会社データアステル（以下「乙」という。）は、定期預金などの契約有無予測と説明可能な顧客セグメンテーションに関するデータ分析業務について、以下のとおり業務委託契約（以下「本契約」という。）を締結する。 ## paragraph_003 - style: Body Text 本契約の締結日および効力発生日は、いずれも2025-10-01とする。 ## paragraph_004 - style: Heading 2 1. 当事者 ## paragraph_005 - style: Heading 3 1.1 甲 ## paragraph_006 - style: Compact 会社名：京橋信用ソリューションズ株式会社 ## paragraph_007 - style: Compact 部署名：リスク管理部 与...
doc_4015dfd3dd4eff97,.docx,プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-11.docx,docx_paragraphs_tables_basic_styles,16331,9964,617,# DOCXファイル: 会議録_2025-07-11.docx ## paragraph_001 - style: Heading 1 会議録 ## paragraph_002 - style: Heading 2 1. 会議情報 ## paragraph_003 - style: Compact 会議ID: M02 ### run_styles - bold: 会議ID ## paragraph_004 - style: Compact 会議種別: EDAレビュー・中間報告 ### run_styles - bold: 会議種別 ## paragraph_005 - style: Compact 開催日: 2025-07-11 ### run_styles - bold: 開催日 ## paragraph_006 - style: Compact 案件名: 離職要因分析・離職リスク検知 初期分析プロジェクト ### run_styles - bold: 案件名 ## paragraph_007 - style: Compact 目的: EDA結果と初期モデル評価を共有し主要因子候補と...
