index,route,required_source_type,failure_area,question,gold_answer,eda024_answer,candidate_answer,candidate_match,method,confidence,source_paths,evidence,notes
12,fallback_bm25_llm,docx,answer_formatting,京橋信用ソリューションズの契約金額（税込）はいくらですか。,"5,775,000円","¥5,775,000","5,775,000円",True,processed_text_regex,medium,data\processed\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\00.提案\提案書_final.pptx.md,"10/29-11/04

中間報告、レビュー反映、最終モデル方針確定、監査・再現性記録整理

M4: 中間報告完了

W6
11/05-11/11

最終報告、最終成果物提出、QA反映、検収対応

M5: 最終報告 / M6: 検収

11


### Slide 12

7. 成果物定義

※ 成果物はいずれも、監査証跡、アクセス制御、説明可能性を重視した金融業務向け文書品質で整備する

12

#### Table

| 成果物 | 内容 |
| --- | --- |
| 提案書 | 背景、課題、分析方針、体制、スケジュール、見積前提を記載 |
| 契約ドラフト | スコープ、納品物、金額、支払条件、変更管理条件を記載 |
| スケジュール | 6週間の作業計画、レビュー日、納品日を記載 |
| 議事録 | キックオフ、要件確認、中間報告、最終報告の記録 |
| 中間報告書 | データ理解、EDA結果、前処理方針、初期モデル結果、論点整理 |
| 最終報告書 | モデル評価結果、重要変数、セグメント示唆、リスク・制約、次段階提案 |
| 分析補足資料 | カラム一覧、変数採用/除外理由、duration含有/非含有モデル比較、指標定義一覧 |
| 再現性管理情報 | 使用ファイル、前処理条件、実行条件、成果物版数、作成日 |


### Slide 13

8. 費用見積

契約金額(税抜)
¥5,250,000

消費税額
¥525,000

契約金額(税込)
¥5,775,000

契約形態: 固定価格契約 ― 契約時に金額を固定し、工数実績による事後精算は行わない

支払条件

第1回(着手金)  50%
条件: 契約締結後5営業日以内
税抜: ¥2,625,000 | 消費税: ¥262,500
税込合計: ¥2,887,500

第2回(検収金)  50%
条件: 最終成果物の検収完了後5営業日以内
税抜: ¥2,625,000 | 消費税: ¥262,500
税込合計: ¥2,887,500

※ 契約範囲外の追加対応は、変更管理手続に基づき別途協議のうえ対応する

13


### Slide 14

9. リスクと対応策(1/2)

⚠ クラス不均衡による評価誤認
契約率11.7%のため、Accuracyが高くても業務価値が低い可能性がある
▶ AUC、Precision、Recall、F1、上位スコア群契約率を併用し、Accuracy単独評価を避ける

⚠ durationによる情報リーク
接触前判断用途では不適切な高精度が出る可能性がある
▶ duration含有モデルと非含有モデルを分離し、用途別に明確に報告する

⚠ 年情報欠如による時系列制約
day・monthのみで厳密な時系列安定性評価が困難
▶ 時系列予測ではなく表形式分類問題として扱い、制約を報告書に明示する

⚠ 外れ値の影響
balance、duration、campaign、previousの極端値がモデル挙動を歪める可能性がある
▶ 分布確認、ロバスト処理、変換、ビニング等の妥当性を検証する

14


### Slide 15

9. リスクと対応策(2/2)

⚠ 公平性・属性利用の論点
age等の属性に起因する判断差が説明責任上の論点となる
▶ 重要変数の寄与を可視化し、公平性・バイアスの初期確認結果を成果物に含める

⚠ 単一データソース依存
外部要因を加味できず、業務上の完全判断には限界がある
▶ 本分析結果を優先順位付け支援と位置づけ、判断補助としての利用前提を明記する

⚠ スケジュール圧縮
6週間の短期間でレビュー遅延が生じると品質・納期に影響する
▶ 週次で進捗・論点を共有し、中間報告で意思決定事項を早期確定する

⚠ 文書整合",
13,table_calculation,csv,calculation,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,1526,わかりません,1526,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\03.データ\train.csv,条件一致141行のloan_amnt平均=1526.404170を四捨五入。,EDA030のローカル計算結果を再利用
14,fallback_bm25_llm,pptx,target_retrieval,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,アサインされていない,わかりません,アサインされていない,True,processed_text_regex,medium,,,
15,fallback_bm25_llm,docx,target_retrieval,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,MINAMINO、SHR、AYM,わかりません,MINAMINO、SHR、AYM,True,schedule_csv_middle_review_filter,medium,,"MINAMINO: data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\02.計画\スケジュール.xlsx.sheets\スケジュール管理表.csv 9 フェーズ3:前処理・評価設計 T09 中間レビュー資料作成 前処理・評価方針書および中間レビュー資料の作成 松本 真央、鈴木 美咲 2025-04-21 2025-04-23 T07, T08 中間レビュー資料、前処理・評価方針書 MS3 - 完了 クリティカルパス上のタスク
SHR: data\processed\share\share\共有ドライブ\プロジェクト\白峰信用リスク評価株式会社\02.計画\スケジュール.xlsx.sheets\WBS.csv T16 フェーズ3 中間レビュー 中間レビュー実施(M03) MS5: 候補モデル比較軸、しきい値、セグメント方針合意 伊藤 翔太 / 山本 彩乃 PM / DS 2025-06-17 2025-06-17 =IF(AND(H17<>"""",I17<>""""),NETWORKDAYS(H17,I17),"""") T15 中間レビュー議事録 完了 nan ● マイルストーンMS5
AYM: data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv T11 3. 探索的分析・仮説整理 04/17~04/28 中間レビュー資料作成 探索的分析結果を中間レビュー資料に集約 藤田 彩 2025-04-24 00:00:00 2025-04-28 00:00:00 =IF(G13="""","""",NETWORKDAYS(G13,H13)) T09, T10 中間レビュー資料 完了 ● nan",
16,fallback_bm25_llm,image,target_retrieval,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,43日,わかりません,43日,True,schedule_csv_inclusive_day_count,high,data\processed\share\share\共有ドライブ\プロジェクト\医療法人社団 蒼樹会 みなみ野女性医療センター\02.計画\スケジュール.xlsx.sheets\スケジュール管理表.csv,M01=2025-04-03 FR=2025-05-15 inclusive_days=43,
17,document_whole_context,docx,answer_formatting,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,未連絡,未連絡を表します。,未連絡,True,processed_text_regex,medium,data\processed\share\share\共有ドライブ\プロジェクト\京橋信用ソリューションズ株式会社\03.データ\カラム説明.md,"字列 | 職業 | `blue-collar`, `management` |
| **marital** | 文字列 | 婚姻状況 | `married`, `single` |
| **education** | 文字列 | 学歴 | `secondary`, `tertiary` |
| **default** | 文字列 | 債務不履行(デフォルト)の有無 | `no`, `yes` |
| **balance** | 整数 | 年間平均残高(口座残高) | `1756`, `436` |
| **housing** | 文字列 | 住宅ローンの有無 | `yes`, `no` |
| **loan** | 文字列 | 個人ローンの有無 | `no`, `yes` |
| **contact** | 文字列 | 連絡手段 | `cellular`, `telephone` |
| **day** | 整数 | 最後に連絡した日(日にち) | `3`, `18` |
| **month** | 文字列 | 最後に連絡した月 | `apr`, `feb` |
| **duration** | 整数 | 最後の連絡の通話時間(秒) | `939`, `172` |
| **campaign** | 整数 | 今回のキャンペーンにおける連絡回数 | `1`, `10` |
| **pdays** | 整数 | 前回のキャンペーンで最後に連絡してからの経過日数(-1は未連絡) | `-1`, `595` |
| **previous** | 整数 | 今回のキャンペーンより前に行われた連絡回数 | `0`, `2` |
| **poutcome** | 文字列 | 前回のキャンペーンの結果 | `unknown`, `success` |
| **y** | 整数 | (目的変数)定期預金などを契約したかどうか(目的変数 / 1: 契約, 0: 未契約など) | `1`, `0` |",
20,fallback_bm25_llm,docx,answer_formatting,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,T09、T10、T11、T12,"T09, T10",T09、T08、T10、T07、T11、T12,True,schedule_csv_phase_task_ids,high,data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv | data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\Sheet2.csv | data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\Sheet3.csv,"data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv T09 3. 探索的分析・仮説整理 04/17~04/28 基準不良率・単変量分析 不良率把握、単変量分析を実施 山本 彩乃 2025-04-17 00:00:00 2025-04-22 00:00:00 =IF(G11="""","""",NETWORKDAYS(G11,H11)) T08 単変量分析結果 完了 ● nan
data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv T10 3. 探索的分析・仮説整理 04/17~04/28 セグメント別分析・仮説整理 セグメント別不良率比較、仮説整理 山本 彩乃 / 藤田 彩 2025-04-21 00:00:00 2025-04-25 00:00:00 =IF(G12="""","""",NETWORKDAYS(G12,H12)) T07, T08 セグメント分析資料 完了 nan nan
data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv T11 3. 探索的分析・仮説整理 04/17~04/28 中間レビュー資料作成 探索的分析結果を中間レビュー資料に集約 藤田 彩 2025-04-24 00:00:00 2025-04-28 00:00:00 =IF(G13="""","""",NETWORKDAYS(G13,H13)) T09, T10 中間レビュー資料 完了 ● nan
data\processed\share\share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\02.計画\スケジュール.xlsx.sheets\sheet1.csv T12 3. 探索的分析・仮説整理 04/17~04/28 中間レビュー会実施 中間レビューで分析結果・論点を合意 伊藤 翔太 / 中村 浩一 2025-04-29 00:00:00 2025-04-29 00:00:00 =IF(G14="""","""",NETWORKDAYS(G14,H14)) T11 中間レビュー議事録 完了 ● MS3対応",
21,table_calculation,xlsx_pivot,calculation,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,MaritalStatus = Divorced,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\03.データ\train.csv,"Attrition,Gender,MaritalStatus,EducationFieldでMonthlyIncome平均を集計し、最大値=17328.000000の組を取得。",EDA030のローカル計算結果を再利用
22,code_reading,py_or_ipynb,code_retrieval_or_output_extraction,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,season,わかりません,season,True,notebook_output_parse,high,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\04.分析\analysis_project\notebooks\01_eda.ipynb.structure.json,"data\processed\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\04.分析\analysis_project\notebooks\01_eda.ipynb.structure.json cell=20
総行数         8645
総列数           15
数値列数          14
カテゴリ候補列数       8
欠損セル総数         0
dtype: int64

目的変数との相関 上位5
temp      0.451233
atemp     0.447029
hr        0.407486
hum       0.288615
season    0.221719
Name: cnt, dtype: float64

EDA完了",
23,format_extraction,xlsx,format_metadata_extraction,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,"見込金額（税込）: 4,675,000 JPY",わかりません,"見込金額(税込): 4,675,000 JPY",True,format_metadata_docx_highlight,high,data\processed\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\報告資料\報告資料_2025-08-06.docx.structure.json,"data\processed\share\share\共有ドライブ\プロジェクト\株式会社青潮モビリティサービス\05.会議\報告資料\報告資料_2025-08-06.docx.structure.json block=91: 見込金額(税込): 4,675,000 JPY",
24,code_reading,py_or_ipynb,code_retrieval_or_output_extraction,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,Attr7,Attr14,Attr7,True,raw_csv_corr_heatmap_recompute,high,data\raw\share\share\共有ドライブ\プロジェクト\白峰信用リスク評価株式会社\03.データ\train.csv,"Attr25    0.061353
Attr10    0.060909
Attr2     0.060658
Attr38    0.060390
Attr3     0.058883
Attr51    0.058636
Attr6     0.055811
Attr35    0.043522
Attr22    0.038195
Attr24    0.035449
Attr33    0.031301
Attr29    0.025291
Attr48    0.025219
Attr14    0.022981
Attr7     0.022977",
25,document_whole_context,pptx,target_retrieval,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,1. データ理解・EDA,わかりません,1. データ理解・EDA,True,format_metadata_pptx_slide_runs,medium,data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json,"data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json slide=7: 1. データ理解・EDA color=#FFFFFF
data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json slide=7: 2. 前処理設計 color=#FFFFFF
data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json slide=7: 3. モデル構築 color=#FFFFFF
data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json slide=7: 4. 評価・解釈 color=#FFFFFF
data\processed\share\share\共有ドライブ\プロジェクト\株式会社東都人材プラットフォーム\00.提案\提案書.pptx.structure.json slide=7: 5. 業務示唆整理 color=#FFFFFF",
26,table_calculation,csv,calculation,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,train_0077、train_0216、train_0242、train_0722,わかりません,train_0077、train_0216、train_0242、train_0722,True,table_calculation_reuse,high,data\raw\share\share\共有ドライブ\プロジェクト\株式会社青葉バイオメディカル機器\03.データ\train.csv,条件一致13行のAge平均=46.230769。最小距離=0.230769のidを抽出。,EDA030のローカル計算結果を再利用
