question_id,dataset,question,internal_scope_terms,human_selected_documents,label_available,internal_term_present,current_rank,generated_by,source,confidence,requires_manual_review
9,test,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,True,False,,offline_rule,signals+labels,medium,True
10,test,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,,,False,False,,offline_rule,signals+labels,low,True
11,test,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
12,test,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,,,False,False,,offline_rule,signals+labels,low,True
13,test,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,,,False,False,,offline_rule,signals+labels,low,True
14,test,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx,True,False,,offline_rule,signals+labels,medium,True
15,test,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
16,test,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,True,False,,offline_rule,signals+labels,medium,True
17,test,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,,,False,False,,offline_rule,signals+labels,low,True
18,test,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
19,test,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,True,False,1,offline_rule,signals+labels,medium,True
20,test,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
21,test,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,,,False,False,,offline_rule,signals+labels,low,True
22,test,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,True,False,1,offline_rule,signals+labels,medium,True
23,test,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,,,False,False,,offline_rule,signals+labels,low,True
24,test,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
25,test,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx,True,False,,offline_rule,signals+labels,medium,True
26,test,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
27,test,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,,,False,False,,offline_rule,signals+labels,low,True
28,test,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
29,test,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,,,False,False,,offline_rule,signals+labels,low,True
30,test,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,True,False,1,offline_rule,signals+labels,medium,True
31,test,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,,,False,False,,offline_rule,signals+labels,low,True
32,test,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,,,False,False,,offline_rule,signals+labels,low,True
33,test,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
34,test,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
35,test,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,,,False,False,,offline_rule,signals+labels,low,True
36,test,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
37,test,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,,,False,False,,offline_rule,signals+labels,low,True
39,test,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,True,False,2,offline_rule,signals+labels,medium,True
40,test,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,,data\processed\share\share\契約管理\project_contract_periods.csv | data\processed\share\share\契約管理\project_payment_schedule.csv | data\processed\share\share\契約管理\payment_monthly_totals.csv,True,False,,offline_rule,signals+labels,medium,True
41,test,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,True,False,10,offline_rule,signals+labels,medium,True
42,test,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
43,test,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,True,False,,offline_rule,signals+labels,medium,True
44,test,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,True,False,,offline_rule,signals+labels,medium,True
45,test,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
46,test,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,,,False,False,,offline_rule,signals+labels,low,True
47,test,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,,,False,False,,offline_rule,signals+labels,low,True
48,test,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,,,False,False,,offline_rule,signals+labels,low,True
49,test,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,True,False,,offline_rule,signals+labels,medium,True
50,test,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,,,False,False,,offline_rule,signals+labels,low,True
51,test,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,True,False,5,offline_rule,signals+labels,medium,True
52,test,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
53,test,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,,,False,False,,offline_rule,signals+labels,low,True
54,test,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
55,test,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
56,test,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,True,False,2,offline_rule,signals+labels,medium,True
57,test,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,True,False,,offline_rule,signals+labels,medium,True
59,test,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,,,False,False,,offline_rule,signals+labels,low,True
60,test,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,True,False,6,offline_rule,signals+labels,medium,True
61,test,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,,,False,False,,offline_rule,signals+labels,low,True
62,test,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx | share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv,True,False,,offline_rule,signals+labels,medium,True
63,test,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,True,False,1,offline_rule,signals+labels,medium,True
64,test,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,,,False,False,,offline_rule,signals+labels,low,True
65,test,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
66,test,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,,,False,False,,offline_rule,signals+labels,low,True
68,test,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,,,False,False,,offline_rule,signals+labels,low,True
69,test,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,True,False,,offline_rule,signals+labels,medium,True
70,test,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf,True,False,6,offline_rule,signals+labels,medium,True
71,test,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,,False,False,,offline_rule,signals+labels,low,True
72,test,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,True,False,,offline_rule,signals+labels,medium,True
73,test,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,,,False,False,,offline_rule,signals+labels,low,True
74,test,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v2.pptx,True,False,,offline_rule,signals+labels,medium,True
75,test,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,,,False,False,,offline_rule,signals+labels,low,True
76,test,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。",,,False,False,,offline_rule,signals+labels,low,True
77,test,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
78,test,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
80,test,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,,False,False,,offline_rule,signals+labels,low,True
81,test,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,True,False,3,offline_rule,signals+labels,medium,True
82,test,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,True,False,,offline_rule,signals+labels,medium,True
83,test,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,True,False,,offline_rule,signals+labels,medium,True
84,test,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,,,False,False,,offline_rule,signals+labels,low,True
85,test,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
86,test,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,,,False,False,,offline_rule,signals+labels,low,True
88,test,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,True,False,1,offline_rule,signals+labels,medium,True
89,test,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,True,False,3,offline_rule,signals+labels,medium,True
90,test,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,,,False,False,,offline_rule,signals+labels,low,True
91,test,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,,,False,False,,offline_rule,signals+labels,low,True
92,test,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,True,False,4,offline_rule,signals+labels,medium,True
93,test,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,,,False,False,,offline_rule,signals+labels,low,True
94,test,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,,,False,False,,offline_rule,signals+labels,low,True
95,test,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,,,False,False,,offline_rule,signals+labels,low,True
96,test,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,True,False,,offline_rule,signals+labels,medium,True
97,test,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,,,False,False,,offline_rule,signals+labels,low,True
98,test,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,,,False,False,,offline_rule,signals+labels,low,True
99,test,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,,,False,False,,offline_rule,signals+labels,low,True
