dataset,question_id,human_selected_documents,human_selected_company,human_selected_file_types,human_selected_document_roles,multiple_documents_required,source_of_label,label_confidence,notes,generated_by,source,confidence,requires_manual_review
test,14,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,16,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,部分正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,30,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,青葉与信マネジメント株式会社,,,False,human_review.human_sorce_files,human_confirmed,正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,40,data\processed\share\share\契約管理\project_contract_periods.csv | data\processed\share\share\契約管理\project_payment_schedule.csv | data\processed\share\share\契約管理\payment_monthly_totals.csv,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,57,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,62,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx | share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,63,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,青葉与信マネジメント株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,74,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v2.pptx,青葉与信マネジメント株式会社,,,True,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,96,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,青葉与信マネジメント株式会社,,,False,human_review.human_sorce_files,human_confirmed,不正解,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG\EDA\human_review.csv,high,False
test,2,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,3,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw-kaede20250902.docx,,docx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,4,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,,ipynb,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,19,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,39,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/03.データ/train.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,41,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/02.計画/スケジュール.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,43,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,,docx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,49,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,,docx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,56,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,,ipynb,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,72,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,,docx | xlsx,,True,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,81,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,,docx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,82,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,83,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,88,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,,pptx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,89,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,,xlsx,,False,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
test,92,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,,docx | xlsx,,True,gate19_answer_results,formal_evidence,offline evaluation only,offline_eda,E:\PC\デスクトップ\SIGNATE\SIGNATE_Agentic_RAG_test49_openrouter_poc\data\output\gate19_test100_final_candidate\answer_results.jsonl,high,False
