dataset,question_id,exact_question,explicit_company_names,explicit_file_names,explicit_document_roles,explicit_file_types,person_names,department_names,task_ids,dates,numeric_literals,column_names,sheet_names,page_or_slide_references,version_comparison,multi_document_required,style_attribute_terms,color_terms,bold_terms,underline_terms,highlight_terms,comment_or_note_terms,chart_or_graph_terms,seating_chart_terms,layout_terms,calculation_required,vision_likely_required,internal_scope_terms,requested_answer_type,possible_executor_family,question_signal_class,current_routes,current_required_file_types,generated_by,source,confidence,requires_manual_review
valid,10,蒼樹会 みなみ野女性医療センターの最終報告書にて、影響度が最も高いとされている残余リスクを抜き出してください。,,,最終報告 | 報告書,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,11,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,,東都人材プラットフォームのtrain.xlsx,,xlsx,,,,,,,trainシート,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,table_lookup,explicit_document,table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,12,京橋信用ソリューションズの契約金額（税込）はいくらですか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,13,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,,,,,,,B1,,3 | 1,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,14,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,,,,,鈴木 美咲,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,15,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,,,,,,,,7月1日,2025 | 7 | 1,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,16,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,,,,,,,,,01 | 1,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,17,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,,,,,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,18,東都のCTにおいて、全14章のうち「本業務の対象データ、前提および制約」が記載されている章番号を数字で答えてください。,,,,,,,,,14,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,19,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,20,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,21,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,,青葉バイオメディカル機器のtrain.xlsx,,xlsx,,,,,,,Pivotシート,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,explicit_document,calculation | table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,22,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,,NB01_eda.ipynb,,ipynb,相関 上位,,,,01 | 5,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,code_execution,ipynb | py,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,23,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,,,,,,,,,02,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,False,True,,list,structure_or_style,structure_or_style_required | vision_required | content_probe_required | insufficient_question_signal,format_extraction,docx | pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,24,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,,01_eda.ipynb,,ipynb,,,,,01,,,,False,False,,False,False,False,False,False,False,False,,False,True,,single_or_short_text,document_lookup,explicit_document | vision_required,code_execution | image_ocr,ipynb | py,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,25,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,,,提案書,,,,,,7,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,table_lookup,semantic_document_guess,format_extraction | table_lookup,docx | pptx | xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,26,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,,青葉バイオメディカル機器のtrain.csv,,csv,,,,,10000,,,,False,False,,False,False,False,False,False,False,False,,True,False,,list,calculation,explicit_document,calculation | table_lookup,csv | xlsx | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,27,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,,,,,,,,,1 | 6,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,cross_file_aggregation | calculation,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,28,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,code_execution,py | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
valid,29,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,,,契約書,,,,,,8,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,,白峰信用リスク評価の提案書old.pptxから提案書.pptx,提案書,pptx,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,explicit_document,diff_comparison,pptx | docx | pdf | xlsx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,,,最終報告 | 報告書,,,,,,,,,,True,True,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,multi_document_required,diff_comparison,docx | pptx | pdf | xlsx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,,青嶺不動産アセットマネジメントのスケジュール_r2.xlsx,スケジュール,xlsx,,,,,2,,,,False,False,ハイライト,False,False,False,True,False,False,False,,False,False,,list,structure_or_style,explicit_document | structure_or_style_required,format_extraction | table_lookup,xlsx | docx | pptx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,,,契約書,,,,,,,,,,False,False,太字,False,True,False,False,False,False,False,,False,False,,list,structure_or_style,structure_or_style_required,format_extraction,docx | pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,,ひがし丘総合病院の01_eda.ipynb,,ipynb,,,,,01,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,calculation | code_execution,ipynb | xlsx | csv | tsv | py,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,,,最終報告,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,青潮モビリティサービスの基礎分析.pptx,,pptx,,,,,,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,False,True,,single_or_short_text,structure_or_style,explicit_document | structure_or_style_required | vision_required,format_extraction,pptx | docx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,,,最終報告,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,semantic_document_guess,diff_comparison,docx | pptx | pdf | xlsx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,,かえで総合病院のtrain.xlsx,,xlsx,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,,,,,,,,,,,,False,False,太字 | 下線,False,True,True,False,False,False,False,,False,False,,list,structure_or_style,structure_or_style_required | content_probe_required | insufficient_question_signal,format_extraction,docx | pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,,ひがし丘総合病院の報告資料_2025-07-08.docx,,docx,,,,2025-07-08,2025 | 07 | 08,,,ページ,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,document_qa | location_lookup,docx | pptx | pdf | xlsx | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptx,提案書,pptx,,,,,1 | 3,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,explicit_document,document_qa,pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,東都人材プラットフォームのtrain.xlsx,,xlsx,,,,,1,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,False,True,,single_or_short_text,structure_or_style,explicit_document | structure_or_style_required | vision_required,format_extraction | table_lookup,xlsx | docx | pptx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,,,,,,,,,,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,False,True,,single_or_short_text,structure_or_style,structure_or_style_required | vision_required | content_probe_required | insufficient_question_signal,format_extraction,docx | pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,,,,,,,,,100 | 2,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,True,True,,single_or_short_text,calculation,structure_or_style_required | vision_required | content_probe_required | insufficient_question_signal,format_extraction | calculation,docx | pptx | xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,,,会議録,,,,,,04,,,ページ,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa | location_lookup,docx | pptx | pdf | xlsx | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,,青嶺不動産アセットマネジメントのスケジュール_r2.xlsx,スケジュール,xlsx,,,,2025-08-11 | 2025-09-09,2 | 2025 | 08 | 11 | 09,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,explicit_document,table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,,東都人材プラットフォームの報告資料_2025-08-18.pdf,,pdf,,,,2025-08-18,2025 | 08 | 18 | 2,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,document_qa,pdf,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynb,,ipynb,,,,,01,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,diff_comparison | code_execution,ipynb | docx | pptx | pdf | xlsx | py,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,,,提案書,,,,,,155 | 10,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,,,,,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,table_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,,白峰信用リスク評価のtrain.xlsx,,xlsx,,,,,,,,,False,False,色 | ハイライト,True,False,False,True,False,False,False,,True,True,,single_or_short_text,calculation,explicit_document | structure_or_style_required | vision_required,format_extraction | calculation | table_lookup,xlsx | docx | pptx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,,,,,,,,2025-08-15 | 2025-09-07,2025 | 08 | 15 | 09 | 07 | 40,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,,,提案書,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,semantic_document_guess,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,,かえで総合病院のtrain.xlsx,,xlsx,,,,,3 | 6,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,table_lookup,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,,,,,,,,,0 | 2,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,,,,,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,table_lookup,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,list,table_lookup,content_probe_required | insufficient_question_signal,table_lookup | code_execution,xlsx | csv | tsv | py | ipynb,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,,青潮モビリティサービスの基礎分析.docx,,docx,,,,,2 | 3 | 5,,,,False,False,色,True,False,False,False,False,True,False,,False,True,,single_or_short_text,structure_or_style,explicit_document | structure_or_style_required | vision_required,image_ocr,docx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,,,,,,,,,01 | 02,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptx,最終報告,pptx,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,explicit_document,document_qa,pptx,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,,,最終報告,,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,semantic_document_guess,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,,,,,,,,,1,,,,False,False,,False,False,False,False,False,False,False,,True,False,,single_or_short_text,calculation,content_probe_required | insufficient_question_signal,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,社内管理,,,,,,,,3,,,,False,False,,False,False,False,False,False,False,False,,True,False,社内,list,calculation,internal_scope_candidate,calculation,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,,青潮モビリティサービスのtrain.xlsx,,xlsx,,,,,1,,,,False,False,,False,False,False,False,False,True,False,,False,True,,single_or_short_text,document_lookup,explicit_document | vision_required,table_lookup | image_ocr,xlsx | csv | tsv,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,,,,,,,,7月1日,2026 | 7 | 1 | 3,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,document_lookup,content_probe_required | insufficient_question_signal,document_qa,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
test,41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,,,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,,False,False,,single_or_short_text,table_lookup,content_probe_required | insufficient_question_signal,table_lookup | table_filter | table_aggregation | calculation,,offline_regex_and_current_question_analysis,question csv + latest questions.py,medium,False
