question_id,question_signal_class,correct_document,initial_rank,why_question_only_is_insufficient,document_content_needed,structural_information_needed,whether_top5_probe_would_help,whether_vision_is_needed,likely_executor,missing_capability,recommended_selection_strategy,generated_by,source,confidence,requires_manual_review
43,content_probe_required | insufficient_question_signal,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
44,content_probe_required | insufficient_question_signal | structure_or_style_required | vision_required,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",右側,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
49,structure_or_style_required,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/会議録/会議録_2025-08-18.docx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",コメント,False,False,structure_or_style,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
51,explicit_document,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,5,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,table_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
56,explicit_document,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,2,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,document_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
57,content_probe_required | insufficient_question_signal,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.xlsx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,calculation,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
58,internal_scope_candidate | structure_or_style_required | vision_required,share/共有ドライブ/社内管理/座席表.pptx | share/共有ドライブ/社内管理/社内用語集.pptx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",向かい,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
60,semantic_document_guess,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,6,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
62,multi_document_required,share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\06.報告書\青葉与信マネジメント株式会社_最終報告.pptx | share\共有ドライブ\プロジェクト\青葉与信マネジメント株式会社\04.分析\analysis_outputs\experiments\leaderboard.csv,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,calculation,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
69,semantic_document_guess,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
70,semantic_document_guess,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/報告資料/報告資料_2025-05-27.pdf | share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/05.会議/会議録/会議録_2025-05-27.pdf,6,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,document_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
72,content_probe_required | insufficient_question_signal,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,table_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
81,structure_or_style_required,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx,3,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",太字,True,False,structure_or_style,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
82,explicit_document | structure_or_style_required | vision_required,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/02.計画/スケジュール.xlsx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",色 | ハイライト,False,True,structure_or_style,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
88,semantic_document_guess,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,1,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,document_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
89,explicit_document,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,3,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,document_lookup,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
92,content_probe_required | insufficient_question_signal,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/スケジュール.xlsx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-16.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-02.docx | data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,4,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,True,False,calculation,document_probe,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
96,content_probe_required | insufficient_question_signal,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx,missing,no explicit company/file or structural condition,"title, sampled text, slide/sheet/section probe",,False,False,table_lookup,candidate_retrieval,top5_probe_then_select,offline_rule,signals+labels+topk,medium,True
