dataset,question_id,candidate_rank,document_id,source_file,company,file_type,document_role,score,score_components,selection_reason,human_selected_match,label_available,generated_by,source,confidence,requires_manual_review
valid,1,1,file_69289dcd3ecabac0,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,株式会社東都人材プラットフォーム,.docx,proposal,8.0,"{""content_bm25"": 8.0}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,2,file_ef106a562ea6c4f4,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,株式会社青嶺不動産アセットマネジメント,.pdf,proposal,8.0,"{""content_bm25"": 8.0}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,3,file_4d734b2c30ad41ee,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf,株式会社青嶺不動産アセットマネジメント,.pdf,meeting,6.6554,"{""content_bm25"": 6.655389219536392}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,4,file_4fa8d55179bcaeab,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-26.pdf,株式会社青嶺不動産アセットマネジメント,.pdf,meeting,6.5914,"{""content_bm25"": 6.591404333499562}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,5,file_8ba42aa604f7f7f9,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png,京橋信用ソリューションズ株式会社,.png,analysis,6.2211,"{""path_term_match"": 2.0, ""identifier_path_match"": 2.0, ""content_bm25"": 2.221143597372909}","path_term_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,6,file_bf3657e26a136347,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,医療法人社団 蒼樹会 みなみ野女性医療センター,.docx,proposal,6.1833,"{""content_bm25"": 6.183304065874231}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,7,file_21fab58c1f410821,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,.xlsx,schedule,6.0,"{""required_file_type_match"": 3.0, ""route_kind_match"": 3.0}","required_file_type_match, route_kind_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,8,file_8fd0e20487420b74,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,京橋信用ソリューションズ株式会社,.csv,data,6.0,"{""required_file_type_match"": 3.0, ""route_kind_match"": 3.0}","required_file_type_match, route_kind_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,9,file_e0021d6b69bfbbc7,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_outputs/experiments/leaderboard.csv,京橋信用ソリューションズ株式会社,.csv,analysis,6.0,"{""required_file_type_match"": 3.0, ""route_kind_match"": 3.0}","required_file_type_match, route_kind_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,1,10,file_d5e7d14b53826dc9,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,京橋信用ソリューションズ株式会社,.csv,data,6.0,"{""required_file_type_match"": 3.0, ""route_kind_match"": 3.0}","required_file_type_match, route_kind_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,1,file_d72ac8163b01ef72,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx,医療法人社団 恒一会 かえで総合病院,.pptx,proposal,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,2,file_cc8e97e3d637960f,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx,医療法人社団 恒一会 かえで総合病院,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,3,file_c2047ca2e1b6baa2,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx,医療法人社団 恒一会 かえで総合病院,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,4,file_70f9d108e37232bd,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,医療法人社団 蒼泉会 ひがし丘総合病院,.pptx,proposal,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,5,file_45d248a37508b209,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,医療法人社団 蒼泉会 ひがし丘総合病院,.pdf,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,6,file_ef106a562ea6c4f4,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/ニューヨーク不動産市場の最新動向調査.pdf,株式会社青嶺不動産アセットマネジメント,.pdf,proposal,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,7,file_e7f13ee43ffadf3e,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,白峰信用リスク評価株式会社,.pptx,proposal,9.4503,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 5.950258028027729}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,8,file_d9ecf52ef8521859,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx,白峰信用リスク評価株式会社,.pptx,proposal,9.4408,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 5.940829878404434}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,9,file_35dab804db563c49,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/提案書.pptx,医療法人社団 蒼樹会 みなみ野女性医療センター,.pptx,proposal,8.8323,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 5.332347146875534}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,2,10,file_d8d532411b40c183,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/会議録/会議録_2025-09-30.docx,医療法人社団 恒一会 かえで総合病院,.docx,meeting,8.4421,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 4.942136080799891}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,1,file_45d248a37508b209,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,医療法人社団 蒼泉会 ひがし丘総合病院,.pdf,report,8.0,"{""content_bm25"": 8.0}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,2,file_0305d0365eeba3e4,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/01.契約/契約書.docx,株式会社青嶺不動産アセットマネジメント,.docx,contract,8.0,"{""content_bm25"": 8.0}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,3,file_8e7f976c6bf62fb6,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/提案書.pptx,株式会社東都人材プラットフォーム,.pptx,proposal,7.3766,"{""content_bm25"": 7.376620174319202}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,4,file_9c265e1ca7bc94dc,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx,医療法人社団 蒼樹会 みなみ野女性医療センター,.docx,contract,6.7231,"{""content_bm25"": 6.723112026713681}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,5,file_a438950d877600c8,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/01.契約/契約書.docx,青葉与信マネジメント株式会社,.docx,contract,6.578,"{""content_bm25"": 6.578034441404193}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,6,file_d2d39140cef077b8,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/01.契約/契約書.docx,株式会社青潮モビリティサービス,.docx,contract,6.5167,"{""content_bm25"": 6.516730697896542}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,7,file_70f9d108e37232bd,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,医療法人社団 蒼泉会 ひがし丘総合病院,.pptx,proposal,6.2875,"{""content_bm25"": 6.287476478852668}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,8,file_0cd4fc42e961ecf5,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx,医療法人社団 蒼泉会 ひがし丘総合病院,.docx,contract,6.2614,"{""content_bm25"": 6.2614473392306245}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,9,file_c406f4075e462625,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書.docx,株式会社青葉バイオメディカル機器,.docx,contract,6.2435,"{""content_bm25"": 6.243467358346516}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,3,10,file_d6eaf5cc92dbca27,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx,株式会社青葉バイオメディカル機器,.docx,contract,6.2362,"{""content_bm25"": 6.236197703561377}",content_bm25,False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,1,file_06de9f93dbf17b0b,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/modeling.py,株式会社青嶺不動産アセットマネジメント,.py,analysis,26.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,2,file_fb2ee3796a98596f,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/src/modeling.py,京橋信用ソリューションズ株式会社,.py,analysis,18.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,3,file_5b90b11f6ffe8a31,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/src/modeling.py,医療法人社団 恒一会 かえで総合病院,.py,analysis,18.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,4,file_24c4e468a9503d06,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/src/modeling.py,医療法人社団 蒼樹会 みなみ野女性医療センター,.py,analysis,18.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,5,file_59fd66c337bc7322,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/src/modeling.py,医療法人社団 蒼泉会 ひがし丘総合病院,.py,analysis,18.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,6,file_d97b17ccc35aafaf,data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/src/modeling.py,株式会社東都人材プラットフォーム,.py,analysis,18.0,"{""path_term_match"": 2.0, ""document_hint_match"": 8.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, document_hint_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,7,file_2b94fecbbe587f21,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb,株式会社青嶺不動産アセットマネジメント,.ipynb,analysis,18.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,8,file_c34375e1e8d2bc19,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/bootstrap_env.py,株式会社青嶺不動産アセットマネジメント,.py,analysis,18.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,9,file_d67af8dcbb6fcf21,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/run_train.py,株式会社青嶺不動産アセットマネジメント,.py,data,18.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,4,10,file_ec32adcdcca7ba84,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/src/common.py,株式会社青嶺不動産アセットマネジメント,.py,analysis,18.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,1,file_9453287d4c9b7701,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx,株式会社青嶺不動産アセットマネジメント,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,2,file_e7f13ee43ffadf3e,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書.pptx,白峰信用リスク評価株式会社,.pptx,proposal,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,3,file_d9ecf52ef8521859,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx,白峰信用リスク評価株式会社,.pptx,proposal,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,4,file_e9a98b71c2781a41,data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx,白峰信用リスク評価株式会社,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,5,file_9988c3de981d5347,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/old/青葉与信マネジメント株式会社_最終報告.pptx,青葉与信マネジメント株式会社,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,6,file_16c34387f25d4280,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/06.報告書/青葉与信マネジメント株式会社_最終報告.pptx,青葉与信マネジメント株式会社,.pptx,report,11.5,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 8.0}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,7,file_a452ac5e9344e277,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx,株式会社青葉バイオメディカル機器,.pptx,report,11.1883,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 7.688322158228558}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,8,file_87b6070b1b78d8f6,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/会議録/会議録_2025-05-27.pdf,青葉与信マネジメント株式会社,.pdf,meeting,10.465,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 6.965038331221683}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,9,file_45d248a37508b209,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,医療法人社団 蒼泉会 ひがし丘総合病院,.pdf,report,9.9494,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 6.44941748259928}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,5,10,file_cc8e97e3d637960f,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx,医療法人社団 恒一会 かえで総合病院,.pptx,report,9.7774,"{""path_term_match"": 2.0, ""route_kind_match"": 1.5, ""content_bm25"": 6.277392083019508}","path_term_match, route_kind_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,1,file_6bae87759176c513,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.xlsx,医療法人社団 恒一会 かえで総合病院,.xlsx,data,14.7531,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0, ""content_bm25"": 4.753130479439767}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,2,file_21fab58c1f410821,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,京橋信用ソリューションズ株式会社,.xlsx,schedule,10.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,3,file_8fd0e20487420b74,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv,京橋信用ソリューションズ株式会社,.csv,data,10.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,4,file_d5e7d14b53826dc9,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv,京橋信用ソリューションズ株式会社,.csv,data,10.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,5,file_d72ac8163b01ef72,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/00.提案/提案書.pptx,医療法人社団 恒一会 かえで総合病院,.pptx,proposal,10.0,"{""path_term_match"": 2.0, ""content_bm25"": 8.0}","path_term_match, content_bm25",False,False,current_candidate_files_for_question,latest planner.py,high,False
valid,6,6,file_03d92cf92666adde,data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/02.計画/~$スケジュール.xlsx,医療法人社団 恒一会 かえで総合病院,.xlsx,schedule,10.0,"{""path_term_match"": 2.0, ""required_file_type_match"": 3.0, ""route_kind_match"": 3.0, ""identifier_path_match"": 2.0}","path_term_match, required_file_type_match, route_kind_match, identifier_path_match",False,False,current_candidate_files_for_question,latest planner.py,high,False
