index,question,answer,split,question_file,question_length,needs_差分比較,needs_Excel/表,needs_Word/PPT書式,needs_PDF/会議録,needs_コード/Notebook,needs_JSON/設定,needs_金額/計算,needs_日付/期間,needs_画像/グラフ,needs_社内用語,needs_複数資料照合,estimated_need_count,estimated_needs
11,東都人材プラットフォームのtrain.xlsxにおいて、trainシートでフィルターで抽出されている条件を教えてください。,Gender=Male、Country=India、target=2,valid,data/raw/share/share/質問回答/questions_valid.csv,61,False,True,False,False,False,False,False,False,False,False,False,1,Excel/表
12,京橋信用ソリューションズの契約金額（税込）はいくらですか。,"5,775,000円",valid,data/raw/share/share/質問回答/questions_valid.csv,29,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
13,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,1526,valid,data/raw/share/share/質問回答/questions_valid.csv,109,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
14,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,アサインされていない,valid,data/raw/share/share/質問回答/questions_valid.csv,46,False,False,False,False,False,False,False,False,False,False,False,0,未分類
15,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,MINAMINO、SHR、AYM,valid,data/raw/share/share/質問回答/questions_valid.csv,51,False,False,False,False,False,False,False,True,False,True,True,3,"日付/期間, 社内用語, 複数資料照合"
16,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,43日,valid,data/raw/share/share/質問回答/questions_valid.csv,57,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
17,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,未連絡,valid,data/raw/share/share/質問回答/questions_valid.csv,47,False,True,False,False,False,False,False,False,False,False,False,1,Excel/表
18,東都のCTにおいて、全14章のうち「本業務の対象データ、前提および制約」が記載されている章番号を数字で答えてください。,3,valid,data/raw/share/share/質問回答/questions_valid.csv,59,False,False,False,False,False,False,False,False,False,False,False,0,未分類
19,青嶺不動産アセットマネジメント案件で分析設計を担当する人の名前をフルネームで抽出してください。,渡辺 遥,valid,data/raw/share/share/質問回答/questions_valid.csv,47,False,False,False,False,False,False,False,False,False,False,False,0,未分類
20,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,T09、T10、T11、T12,valid,data/raw/share/share/質問回答/questions_valid.csv,47,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
21,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,valid,data/raw/share/share/質問回答/questions_valid.csv,61,False,True,False,False,False,False,True,True,False,False,False,3,"Excel/表, 金額/計算, 日付/期間"
22,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,season,valid,data/raw/share/share/質問回答/questions_valid.csv,81,False,False,False,False,True,False,False,False,False,False,False,1,コード/Notebook
23,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,"見込金額（税込）: 4,675,000 JPY",valid,data/raw/share/share/質問回答/questions_valid.csv,52,False,True,True,False,False,False,False,False,False,False,True,3,"Excel/表, Word/PPT書式, 複数資料照合"
24,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,Attr7,valid,data/raw/share/share/質問回答/questions_valid.csv,90,False,False,False,False,True,False,False,False,True,False,False,2,"コード/Notebook, 画像/グラフ"
25,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,1. データ理解・EDA,valid,data/raw/share/share/質問回答/questions_valid.csv,49,False,True,True,False,False,False,False,False,False,False,True,3,"Excel/表, Word/PPT書式, 複数資料照合"
26,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,train_0077、train_0216、train_0242、train_0722,valid,data/raw/share/share/質問回答/questions_valid.csv,129,False,False,False,False,False,False,True,False,False,False,True,2,"金額/計算, 複数資料照合"
27,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,0.010301,valid,data/raw/share/share/質問回答/questions_valid.csv,113,False,False,False,False,False,True,True,False,False,False,False,2,"JSON/設定, 金額/計算"
28,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,object、string、categoricaldtype の列を候補とし、欠損を除いたユニーク数が50未満ならカテゴリ特徴量として採用している。,valid,data/raw/share/share/質問回答/questions_valid.csv,49,False,False,False,False,True,False,False,False,False,False,False,1,コード/Notebook
29,蒼樹会 みなみ野女性医療センターの契約書第8条において、本契約終了後に秘密保持義務が存続する期間は何年間ですか。,3年間,valid,data/raw/share/share/質問回答/questions_valid.csv,56,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
0,白峰信用リスク評価の提案書old.pptxから提案書.pptxへの更新内容のうち、案件遂行に関連する実質的な変更を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,65,True,True,True,False,False,False,False,False,False,False,False,3,"差分比較, Excel/表, Word/PPT書式"
1,恒一会 かえで総合病院の最終報告書old版と最新版を比較したとき、案件遂行に関連する実質的な変更を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,57,True,True,False,False,False,False,False,False,False,False,False,2,"差分比較, Excel/表"
2,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、オレンジにハイライトされている行のタスク名をすべて答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,68,False,True,False,False,False,False,False,False,False,False,True,2,"Excel/表, 複数資料照合"
3,恒一会 かえで総合病院の契約書において、太字で記載されている箇所のうち、日付以外のものをすべて抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,56,False,False,True,False,False,False,False,True,False,False,True,3,"Word/PPT書式, 日付/期間, 複数資料照合"
4,蒼泉会 ひがし丘総合病院の01_eda.ipynbを確認して、目的変数と相関が最も高い数値特徴量を教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,57,False,False,False,False,True,False,False,False,False,False,False,1,コード/Notebook
5,青潮モビリティサービスの最終報告にて最良モデルとしているモデルのパラメータであるmax_depthはいくらに設定されていますか。,,test,data/raw/share/share/質問回答/questions_test.csv,64,False,False,False,False,False,True,False,False,False,False,False,1,JSON/設定
6,蒼泉会 ひがし丘総合病院案件において、提案時の税込み見込み金額と最終請求金額の差額はいくらですか。,,test,data/raw/share/share/質問回答/questions_test.csv,49,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
7,青潮モビリティサービスの基礎分析.pptxにおいて、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,67,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
8,東都人材プラットフォームのデータサイエンティスト調査資料において、米国平均給与における機械学習（ML）エンジニアとデータエンジニアの差はいくらですか。,,test,data/raw/share/share/質問回答/questions_test.csv,75,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
9,青葉与信マネジメントの最終報告資料の最新版になる際に修正されたもののうち、案件遂行に関連する変更を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,57,True,True,False,False,False,False,False,False,False,False,False,2,"差分比較, Excel/表"
10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,,test,data/raw/share/share/質問回答/questions_test.csv,60,False,True,False,False,False,False,False,False,True,False,False,2,"Excel/表, 画像/グラフ"
11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,56,False,False,True,False,False,False,False,False,False,False,True,2,"Word/PPT書式, 複数資料照合"
12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,,test,data/raw/share/share/質問回答/questions_test.csv,65,False,False,True,False,False,False,False,False,False,False,False,1,Word/PPT書式
13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,43,False,False,False,False,False,False,False,False,False,False,False,0,未分類
14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,67,True,True,True,False,False,False,False,False,False,False,False,3,"差分比較, Excel/表, Word/PPT書式"
15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,67,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,50,False,True,True,False,False,False,False,False,False,False,True,3,"Excel/表, Word/PPT書式, 複数資料照合"
17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,115,False,True,True,False,False,False,True,False,False,False,False,3,"Excel/表, Word/PPT書式, 金額/計算"
18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,52,False,False,False,True,False,False,False,False,False,False,False,1,PDF/会議録
19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,94,False,True,False,False,False,True,False,True,False,False,True,4,"Excel/表, JSON/設定, 日付/期間, 複数資料照合"
20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,69,False,False,False,True,False,False,False,False,False,False,False,1,PDF/会議録
21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,33,False,False,False,False,False,False,False,False,False,False,False,0,未分類
22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,68,True,False,False,False,True,False,False,False,False,False,False,2,"差分比較, コード/Notebook"
23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,,test,data/raw/share/share/質問回答/questions_test.csv,73,False,False,False,False,False,False,True,True,False,False,False,2,"金額/計算, 日付/期間"
24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,42,False,True,False,False,False,False,False,False,False,True,False,2,"Excel/表, 社内用語"
25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,64,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,80,False,False,False,False,False,False,False,True,False,True,True,3,"日付/期間, 社内用語, 複数資料照合"
27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,,test,data/raw/share/share/質問回答/questions_test.csv,44,False,False,False,False,False,False,False,False,False,False,False,0,未分類
28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,73,False,False,False,False,False,False,False,False,False,False,False,0,未分類
29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,69,False,True,False,False,False,False,True,False,True,False,False,3,"Excel/表, 金額/計算, 画像/グラフ"
30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,138,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,82,False,True,False,False,False,False,True,False,False,True,False,3,"Excel/表, 金額/計算, 社内用語"
32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,118,False,True,False,False,True,True,False,False,False,False,True,4,"Excel/表, コード/Notebook, JSON/設定, 複数資料照合"
33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,60,False,False,True,False,False,False,True,False,True,False,False,3,"Word/PPT書式, 金額/計算, 画像/グラフ"
34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,66,False,False,False,False,False,False,False,False,False,False,False,0,未分類
35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,,test,data/raw/share/share/質問回答/questions_test.csv,96,False,False,True,False,False,False,False,False,False,False,False,1,Word/PPT書式
36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,64,False,False,False,False,False,False,False,False,False,False,False,0,未分類
37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,,test,data/raw/share/share/質問回答/questions_test.csv,66,False,False,False,False,False,False,True,False,False,False,False,1,金額/計算
38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,61,False,False,False,False,False,False,True,False,False,True,True,3,"金額/計算, 社内用語, 複数資料照合"
39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,,test,data/raw/share/share/質問回答/questions_test.csv,54,False,True,False,False,False,False,False,False,True,False,False,2,"Excel/表, 画像/グラフ"
40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,58,False,False,False,False,False,False,False,True,False,False,True,2,"日付/期間, 複数資料照合"
41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,,test,data/raw/share/share/質問回答/questions_test.csv,42,False,False,False,False,False,False,False,False,False,False,False,0,未分類
42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,76,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,32,False,False,False,False,False,False,False,False,False,False,False,0,未分類
44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,44,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
45,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,101,False,False,False,True,False,False,False,False,False,False,True,2,"PDF/会議録, 複数資料照合"
46,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,36,False,False,False,False,False,False,False,False,False,False,False,0,未分類
47,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,90,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
48,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,,test,data/raw/share/share/質問回答/questions_test.csv,93,False,True,False,True,False,False,False,False,False,False,False,2,"Excel/表, PDF/会議録"
49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,47,False,False,False,True,False,False,False,False,False,False,False,1,PDF/会議録
50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,,test,data/raw/share/share/質問回答/questions_test.csv,92,False,True,False,False,False,False,False,False,False,False,False,1,Excel/表
51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,,test,data/raw/share/share/質問回答/questions_test.csv,76,False,True,True,False,False,False,False,True,False,False,False,3,"Excel/表, Word/PPT書式, 日付/期間"
52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,71,False,False,False,False,False,False,False,False,False,False,False,0,未分類
53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,,test,data/raw/share/share/質問回答/questions_test.csv,40,False,False,False,False,False,False,False,False,False,False,False,0,未分類
54,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,53,False,False,True,False,False,False,True,False,True,False,False,3,"Word/PPT書式, 金額/計算, 画像/グラフ"
55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,59,False,False,False,False,False,False,False,False,False,True,False,1,社内用語
56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,70,False,True,False,False,True,False,False,False,False,False,False,2,"Excel/表, コード/Notebook"
57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,,test,data/raw/share/share/質問回答/questions_test.csv,99,False,False,False,False,False,True,True,False,False,False,False,2,"JSON/設定, 金額/計算"
58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,46,False,False,False,False,False,False,False,False,False,False,False,0,未分類
59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,,test,data/raw/share/share/質問回答/questions_test.csv,52,False,False,True,False,False,False,True,False,False,False,False,2,"Word/PPT書式, 金額/計算"
60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,47,False,False,False,False,False,False,False,False,False,False,True,1,複数資料照合
61,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,154,False,True,False,False,True,True,False,False,False,False,True,4,"Excel/表, コード/Notebook, JSON/設定, 複数資料照合"
62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,53,True,False,False,False,False,True,False,False,False,False,False,2,"差分比較, JSON/設定"
63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,,test,data/raw/share/share/質問回答/questions_test.csv,77,False,True,False,False,False,False,True,False,False,False,False,2,"Excel/表, 金額/計算"
64,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,61,False,False,False,True,False,False,True,False,False,False,False,2,"PDF/会議録, 金額/計算"
65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,68,False,True,True,False,False,False,False,False,False,False,False,2,"Excel/表, Word/PPT書式"
66,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,45,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
67,完了案件のうち、社内管理のAPRでAPR-M2に該当する案件の中で、提案時金額とFR時の金額が異なる案件を案件略称ですべて挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,69,False,False,False,False,False,False,True,False,False,True,True,3,"金額/計算, 社内用語, 複数資料照合"
68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,88,False,False,False,True,False,False,True,False,False,False,False,2,"PDF/会議録, 金額/計算"
69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,,test,data/raw/share/share/質問回答/questions_test.csv,59,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,84,False,False,False,True,False,False,False,True,False,False,False,2,"PDF/会議録, 日付/期間"
71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,test,data/raw/share/share/質問回答/questions_test.csv,55,False,False,True,True,False,False,False,False,False,False,True,3,"Word/PPT書式, PDF/会議録, 複数資料照合"
72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,,test,data/raw/share/share/質問回答/questions_test.csv,36,False,False,False,False,False,False,False,False,False,False,False,0,未分類
73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,,test,data/raw/share/share/質問回答/questions_test.csv,103,False,True,False,False,False,True,False,False,False,False,True,3,"Excel/表, JSON/設定, 複数資料照合"
74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,test,data/raw/share/share/質問回答/questions_test.csv,67,True,True,True,False,False,False,False,False,False,False,False,3,"差分比較, Excel/表, Word/PPT書式"
75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,,test,data/raw/share/share/質問回答/questions_test.csv,46,False,False,False,False,False,False,False,True,False,False,False,1,日付/期間
