index,context_file,context_quality_for_llm,required_capability,answer_hit_top5,evidence_count,context_chars,removed_noise_lines,truncated_chars,source_paths,context_path
10,valid_010_context.md,needs_table_tool,"table_tool, document_qa",False,5,1773,1,0,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/06.報告書/医療法人社団 蒼樹会 みなみ野女性医療センター_最終報告.pdf || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,EDA/EDA007/contexts/valid_010_context.md
11,valid_011_context.md,needs_table_tool,table_tool,False,5,1793,1,0,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx || プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx || プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx || プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx,EDA/EDA007/contexts/valid_011_context.md
12,valid_012_context.md,ready_for_llm,document_qa,True,5,1762,0,0,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx || プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx || プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx || プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_v1.pptx || プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_final.pptx,EDA/EDA007/contexts/valid_012_context.md
13,valid_013_context.md,needs_table_tool,table_tool,False,3,749,1,0,プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv || プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,EDA/EDA007/contexts/valid_013_context.md
14,valid_014_context.md,needs_better_retrieval,document_qa,False,5,1801,1,0,プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx || プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx || プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx || プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx || プロジェクト/株式会社青葉バイオメディカル機器/05.会議/報告資料/報告資料_2025-06-23.docx,EDA/EDA007/contexts/valid_014_context.md
15,valid_015_context.md,needs_better_retrieval,document_qa,False,5,1816,0,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,EDA/EDA007/contexts/valid_015_context.md
16,valid_016_context.md,needs_better_retrieval,document_qa,False,5,1793,1,0,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/00.提案/糖尿病統計情報.docx,EDA/EDA007/contexts/valid_016_context.md
17,valid_017_context.md,ready_for_llm,document_qa,True,3,1065,1,0,プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx || プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_final.pptx || プロジェクト/京橋信用ソリューションズ株式会社/00.提案/提案書_v1.pptx,EDA/EDA007/contexts/valid_017_context.md
18,valid_018_context.md,ready_for_llm,document_qa,True,5,1817,0,0,プロジェクト/株式会社東都人材プラットフォーム/01.契約/契約書.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,EDA/EDA007/contexts/valid_018_context.md
19,valid_019_context.md,ready_for_llm,document_qa,True,5,1783,1,0,プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-26.pdf || プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/提案書.pptx || プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/old/提案書.pptx || プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx || プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx,EDA/EDA007/contexts/valid_019_context.md
20,valid_020_context.md,ready_for_llm,document_qa,True,5,1816,0,0,プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx || プロジェクト/青葉与信マネジメント株式会社/02.計画/スケジュール.xlsx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx || プロジェクト/京橋信用ソリューションズ株式会社/02.計画/スケジュール.xlsx,EDA/EDA007/contexts/valid_020_context.md
21,valid_021_context.md,needs_table_tool,table_tool,False,5,1792,1,0,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx || プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx || プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx || プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx || プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,EDA/EDA007/contexts/valid_021_context.md
22,valid_022_context.md,ready_for_llm,document_qa,True,5,1258,2,0,プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/株式会社青潮モビリティサービス/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,EDA/EDA007/contexts/valid_022_context.md
23,valid_023_context.md,needs_format_extraction,format_extraction,False,5,1818,0,0,プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,EDA/EDA007/contexts/valid_023_context.md
24,valid_024_context.md,needs_better_retrieval,document_qa,False,5,1815,0,0,プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb || プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,EDA/EDA007/contexts/valid_024_context.md
25,valid_025_context.md,needs_better_retrieval,document_qa,False,5,1821,0,0,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,EDA/EDA007/contexts/valid_025_context.md
26,valid_026_context.md,needs_table_tool,table_tool,False,3,1089,0,0,プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv || プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv || プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv,EDA/EDA007/contexts/valid_026_context.md
27,valid_027_context.md,needs_better_retrieval,document_qa,False,4,1452,0,0,プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_outputs/metrics.json || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,EDA/EDA007/contexts/valid_027_context.md
28,valid_028_context.md,needs_better_retrieval,code_reading,False,5,1817,0,0,プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx || プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,EDA/EDA007/contexts/valid_028_context.md
29,valid_029_context.md,ready_for_llm,document_qa,True,5,1797,1,0,プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx || プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/01.契約/契約書.docx,EDA/EDA007/contexts/valid_029_context.md
