index,route,outcome,diagnostic_bucket,required_source_type,failure_area,next_fix,question,gold_answer,llm_answer,top1_record_type,top1_source_path,diagnosis_reason
12,fallback_bm25_llm,near_correct,format_normalization_needed,docx,answer_formatting,normalize_final_answer,京橋信用ソリューションズの契約金額（税込）はいくらですか。,"5,775,000円","¥5,775,000",generic_chunk,share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-29.docx,回答は近いが、単位、表記、余計な語、または一部不足を整える必要がある。
13,table_calculation,unknown,unknown_answer,csv,calculation,implement_pandas_csv_calculation,青葉与信マネジメントの分析対象データにおいて、term=3 years、grade=B1、purpose=credit_cardに該当するloan_amntの平均を算出してください。四捨五入して整数値で出してください。,1526,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx
14,fallback_bm25_llm,unknown,unknown_answer,pptx,target_retrieval,improve_project_document_targeting,青葉バイオメディカル機器案件において、鈴木 美咲さんはどの役割としてアサインされていますか。,アサインされていない,わかりません,pptx_slide,share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx,対象文書の検索がずれている可能性が高い。現在のTop1根拠は share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/06.報告書/株式会社青葉バイオメディカル機器_最終報告.pptx
15,fallback_bm25_llm,unknown,unknown_answer,docx,target_retrieval,improve_project_document_targeting,中間報告会または中間レビューが2025年7月1日以前に実施された案件を、主略称ですべて挙げてください。,MINAMINO、SHR、AYM,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,対象文書の検索がずれている可能性が高い。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx
16,fallback_bm25_llm,unknown,unknown_answer,image,target_retrieval,improve_project_document_targeting,MINAMINOのPLにおいて、M01当日を1日目として数えた場合、M01の日からFR実施までの日数は何日ですか。,43日,わかりません,image,data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png,対象文書の検索がずれている可能性が高い。現在のTop1根拠は data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/reports/figures/figure_06.png
17,document_whole_context,near_correct,partial_or_over_answer,docx,answer_formatting,normalize_final_answer,京橋信用ソリューションズのカラム説明において、カラム名pdaysの値-1は何を表していますか。,未連絡,未連絡を表します。,metadata,share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/カラム説明.md,回答は近いが、単位、表記、余計な語、または一部不足を整える必要がある。
20,fallback_bm25_llm,near_correct,partial_or_over_answer,docx,answer_formatting,normalize_final_answer,AYMのPLにおいて、探索的分析・仮説整理フェーズに一致するタスクIDをすべて挙げてください。,T09、T10、T11、T12,"T09, T10",generic_chunk,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx,回答は近いが、単位、表記、余計な語、または一部不足を整える必要がある。
21,table_calculation,wrong,weak_overlap_wrong,xlsx_pivot,calculation,read_xlsx_pivot_or_recompute_from_sheet,青葉バイオメディカル機器のtrain.xlsxのPivotシートにおいて、平均月収が最も高い層の抽出条件を答えてください。,Attrition = No、Gender = Female、MaritalStatus = Single、EducationField = Human Resources,MaritalStatus = Divorced,xlsx_sheet,share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.xlsx
22,code_reading,unknown,unknown_answer,py_or_ipynb,code_retrieval_or_output_extraction,target_py_ipynb_by_filename_then_extract,AOSHIOの NB01_eda.ipynbにおいて、観察結果サマリで出力されている「TGとの相関 上位5」の中で、相関係数が最も小さいカラム名を答えてください。,season,わかりません,notebook_cell,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb,対象コード/Notebookの特定が弱い。現在のTop1根拠は share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda_old.ipynb
23,format_extraction,unknown,unknown_answer,xlsx,format_metadata_extraction,query_structure_json_format_runs,AOSHIOのM02資料（docx）において、黄色でハイライトされている部分をすべて抜き出してください。,"見込金額（税込）: 4,675,000 JPY",わかりません,generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,マーカー、ハイライト、色などの書式情報をstructure JSONから直接読む必要がある。
24,code_reading,wrong,wrong_evidence_or_missing_process,py_or_ipynb,code_retrieval_or_output_extraction,target_py_ipynb_by_filename_then_extract,白峰信用リスク評価の 01_eda.ipynb にある特徴量相関ヒートマップの図で可視化されている特徴量のうち、classとの相関係数の絶対値が最も小さい特徴量名を答えてください。,Attr7,Attr14,notebook_cell,share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb,対象コード/Notebookの特定が弱い。現在のTop1根拠は share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/notebooks/01_eda.ipynb
25,document_whole_context,unknown,unknown_answer,pptx,target_retrieval,improve_project_document_targeting,東都人材プラットフォームの提案書P7において、赤で強調されている箇所の文字列を抜き出してください。,1. データ理解・EDA,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx,対象文書の検索がずれている可能性が高い。現在のTop1根拠は share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/00.提案/データサイエンティスト調査.docx
26,table_calculation,unknown,unknown_answer,csv,calculation,implement_pandas_csv_calculation,青葉バイオメディカル機器のtrain.csvにおいて、EducationFieldがMarketingかつMonthlyIncomeが10000より大きいデータを抽出し、Ageの平均値を計算してください。その平均値に最も近い年齢のidをすべて答えてください。,train_0077、train_0216、train_0242、train_0722,わかりません,generic_chunk,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx,表データの対象特定または計算処理が必要。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx
27,document_whole_context,wrong,wrong_evidence_or_missing_process,pptx,target_retrieval,improve_project_document_targeting,蒼泉会 ひがし丘総合病院案件において、中間報告資料に記載されたMacro F1スコアの詳細値と、最終分析出力metrics.jsonに記録されているMacro F1スコアの詳細値を用いて、改善幅を小数第6位まで答えてください。,0.010301,0.010310,pdf_page,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf,対象文書の検索がずれている可能性が高い。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/06.報告書/医療法人社団 蒼泉会 ひがし丘総合病院_最終報告.pdf
28,code_reading,wrong,weak_overlap_wrong,py_or_ipynb,code_retrieval_or_output_extraction,target_py_ipynb_by_filename_then_extract,蒼泉会の分析コードにおいて、CATは dtype とユニーク数の条件でどのように判定していますか。,object、string、categoricaldtype の列を候補とし、欠損を除いたユニーク数が50未満ならカテゴリ特徴量として採用している。,cat_cols = [c for c in df.columns if df[c].dtype == 'object' or str(df[c].dtype) == 'category'] その後、各cに対してユニーク数を df[c].nunique(dropna=True) で算出し、必要に応じて高カードリストに格納する。,notebook_cell,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb,対象コード/Notebookの特定が弱い。現在のTop1根拠は share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb
