index,question,answer,answer_status,source_stage,source_confidence,source_paths,source_count,source_note,evidence
10,恒一会 かえで総合病院のtrain.xlsxにおいて、AG_ratioのヒストグラムで最も多いカウント数はいくつですか。,1473,answered,EDA036,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv.data.csv,1,EDA036の改善ログ,"column=AG_ratio
counts=[385, 1114, 1473, 389, 132, 3, 0, 0, 0, 4]
bins=[0.36618959, 0.5947273, 0.82326501, 1.05180272, 1.28034042, 1.50887813, 1.73741584, 1.96595355, 2.19449125, 2.42302896, 2.65156667]"
11,青嶺不動産アセットマネジメントの報告資料の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,該当箇所はありません,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-26.pdf | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/05.会議/報告資料/報告資料_2025-08-06.pdf | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/提案書.pptx | share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/00.提案/old/提案書.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
12,蒼泉会 ひがし丘総合病院の報告資料_2025-07-08.docxにおいて、WBS観点の進捗状況の見出しがあるのは何ページですか。,3,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/05.会議/報告資料/報告資料_2025-07-08.docx.md,1,EDA046の改善ログ,### 2.3 WBS観点の進捗状況
13,データアステル社の中でもっとも多くの案件にかかわっている人の内線番号を教えてください。,鈴木 美咲,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/社内管理/データアステル社内規定_パスワード導出規則.docx | share/共有ドライブ/社内管理/データアステル社内管理_決裁基準.md,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
14,青葉与信マネジメントの提案書_v1.pptxから提案書_v3.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,"• ベースラインモデルを構築し基準性能を把握、• ROC-AUC, PR-AUC, 混同行列, リフト等を算出、• データ定義・前処理・評価条件・判断根拠を文書化",answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v3.pptx.md,2,EDA046の改善ログ,"• ベースラインモデルを構築し基準性能を把握
• ロジスティック回帰等の説明性重視モデルを中心に評価
• 必要に応じて決定木系モデルの重要度も比較利用
• 上位/下位リスク群の不良率差を可視化"
15,東都人材プラットフォームのtrain.xlsxにおいて、Sheet1の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,"Country: Spain, 個数: 12.0",answered,EDA036,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json,1,EDA036の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.xlsx.structure.json Sheet1!E1409: {'Country': 'Spain', '個数': '12.0'}"
16,青葉与信マネジメントの中間報告資料にて、黄色ハイライトかつ赤字となっている部分を抜き出してください。,0.589,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx.structure.json,2,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx.structure.json block=10: 0.589 {'text': '0.589', 'bold': False, 'italic': False, 'underline': False, 'font_color': '#EE0000', 'highlight': 'YELLOW (7)', 'font_name': '', 'font_size_pt': None}"
17,AYMのMMにおいて、黄色ハイライトかつREDになっている数値を対象に、最初のMMから最後のMMまでの上昇率を計算してください。上昇率は （最後の値 - 最初の値） / 最初の値 × 100 で求め、小数第2位まで答えてください。,208.40%,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-29.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,2,answered,EDA053_safe,medium,EDA/EDA052/rendered_pages/白峰信用リスク評価株式会社_会議録_2025_07_15_pdf_page002.png,1,EDA053_safeの採用ログ,2
19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,T04 T05 T06 T07 T08,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/02.計画/スケジュール_r2.xlsx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,"渡辺遥: T07, T09, T10 藤田彩: T12",answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/05.会議/報告資料/報告資料_2025-08-18.pdf,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,エグゼクティブスポンサーです,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/01.契約/契約書_draft.docx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,変更なし。,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/00.提案/提案書old.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/06.報告書/白峰信用リスク評価株式会社_最終報告.pptx.md,2,EDA046の改善ログ,"制約事項と残余リスク
リスクセグメント別企業分類(上位リスク抽出)
説明可能なモデル候補の比較と初期採用方針提示
監査対応可能な前処理・評価・出力の記録方針の確立"
23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,398750円,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/00.提案/提案書.pptx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,AOMINE,answered,EDA035,medium,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv,1,EDA035の改善ログ,"('AOMINE', 13556, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/03.データ/train.csv')
('AOMINE', 13556, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv')
('SHR', 3932, 'data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.csv')
('SHR', 3932, 'data/raw/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/04.分析/analysis_project/data/train.csv')
('TOTO', 166, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/03.データ/train.csv')
('TOTO', 166, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社東都人材プラットフォーム/04.分析/analysis_project/data/train.csv')
('KSS', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/03.データ/train.csv')
('KSS', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/04.分析/analysis_project/data/train.csv')
('KAEDE', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/03.データ/train.csv')
('KAEDE', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/data/train.csv')
('MINAMINO', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/03.データ/train.csv')
('MINAMINO', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/data/train.csv')
('HIGASHI', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/03.データ/train.csv')
('HIGASHI', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/04.分析/analysis_project/data/train.csv')
('AOBM', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/03.データ/train.csv')
('AOBM', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/04.分析/analysis_project/data/train.csv')
('AYM', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv')
('AYM', 0, 'data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/04.分析/analysis_project/data/train.csv')"
25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,-11759122,answered,EDA035,medium,data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.structure.json,1,EDA035の改善ログ,"data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.structure.json Sheet5 B8=90804.49533060042
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.structure.json Sheet5 B9=-11850477.417452984
data/processed/share/share/共有ドライブ/プロジェクト/白峰信用リスク評価株式会社/03.データ/train.xlsx.structure.json Sheet5 E12=550.3782721439993"
26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,株式会社青嶺不動産アセットマネジメント,answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青葉バイオメディカル機器/05.会議/会議録/会議録_2025-07-11.docx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/社内管理/社内用語集.docx.structure.json | data/processed/share/share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/01.契約/契約書_pw解除版.docx.structure.json,4,EDA046の改善ログ,"前回からの進捗
モデル入力から除外
""モデル入力から除外""
""text"": ""から"","
27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,7,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,Age,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/医療法人社団 蒼樹会 みなみ野女性医療センター/04.分析/analysis_project/notebooks/01_eda.ipynb,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,5.667456以上6.143320未満,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/04.分析/analysis_project/notebooks/01_eda.ipynb | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-02.docx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告_old.pptx | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/06.報告書/医療法人社団 恒一会 かえで総合病院_最終報告.pptx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,1.18%,answered,EDA035,medium,data/raw/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/03.データ/train.csv,1,EDA035の改善ログ,"denominator=10938, numerator=129, credit_card_mean=1540.8428824033083"
31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,"白峰信用リスク評価 7,480,000",answered,EDA046,medium,data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/06.報告書/株式会社青嶺不動産アセットマネジメント_最終報告.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/00.提案/提案書.pptx.md | data/processed/share/share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/00.提案/提案書_v1.pptx.structure.json,3,EDA046の改善ログ,"税込金額
(税込)
""税込"""
32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,BOROUGH__x__BLOCK、BOROUGH__x__LOT、BOROUGH__x__ZIP CODE、BLOCK__x__LOT、BLOCK__x__ZIP CODE、LOT__x__ZIP CODE,answered,EDA035,medium,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_outputs/metrics.json | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/README.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/train.csv.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/data/カラム説明.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/notebooks/01_eda.ipynb.md | data/processed/share/share/共有ドライブ/プロジェクト/株式会社青嶺不動産アセットマネジメント/04.分析/analysis_project/scripts/bootstrap_env.py.md,6,EDA035の改善ログ,"selected=['BOROUGH', 'BUILDING CLASS CATEGORY', 'TAX CLASS AT PRESENT', 'BLOCK', 'LOT', 'ZIP CODE', 'RESIDENTIAL UNITS', 'COMMERCIAL UNITS', 'TOTAL UNITS', 'LAND SQUARE FEET', 'GROSS SQUARE FEET', 'YEAR BUILT', 'TAX CLASS AT TIME OF SALE', 'BOROUGH__x__BLOCK', 'BOROUGH__x__LOT', 'BOROUGH__x__ZIP CODE', 'BLOCK__x__LOT', 'BLOCK__x__ZIP CODE', 'LOT__x__ZIP CODE']
generated=['Age_x_Experience', 'Education_x_Experience', '__x__']"
33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,137.64768,answered,EDA055,medium,data/raw/share/share/共有ドライブ/プロジェクト/株式会社青潮モビリティサービス/05.会議/報告資料/基礎分析.docx,1,EDA055の採用ログ,137.64768
34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,なし,answered,EDA021_bm25_top_sources_fallback,low,share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/報告資料/報告資料_2025-04-09.docx | share/共有ドライブ/プロジェクト/青葉与信マネジメント株式会社/05.会議/会議録/会議録_2025-05-27.pdf | share/共有ドライブ/プロジェクト/医療法人社団 恒一会 かえで総合病院/05.会議/報告資料/報告資料_2025-09-16.docx | share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/05.会議/報告資料/報告資料_2025-10-01.docx,5,採用ログのsource_pathsが空だったため、BM25検索上位ソースを補助根拠として記録,
35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,0.90527,answered,EDA034_eda027_openrouter_20b,medium,share/共有ドライブ/プロジェクト/京橋信用ソリューションズ株式会社/06.報告書/京橋信用ソリューションズ株式会社_最終報告.pptx,1,EDA034の最終回答ログ。top1_source_pathを補助根拠として記録,EDA027のunknown許容LLM回答を採用
