split,index,question,answer,route
test,18,白峰信用リスク評価の会議ID：M04の会議録にて、進捗サマリが記載されているページ番号を答えてください。,,document_whole_context
test,19,青嶺不動産アセットマネジメントのスケジュール_r2.xlsxにおいて、2025-08-11から2025-09-09の間に開始日または終了日が設定されているタスクIDをすべて挙げてください。,,table_calculation
test,20,東都人材プラットフォームの報告資料_2025-08-18.pdf で、渡辺遥と藤田彩の2人が担当となっている優先タスクを抽出してください。,,document_whole_context
test,21,青葉バイオメディカル機器のクライアントの主担当者の役職は何ですか。,,fallback_bm25_llm
test,22,白峰信用リスク評価の01_eda_old.ipynbから01_eda.ipynbへの変更内容のうち、内容として変わっている点は何ですか。,,diff_check
test,23,ひがし丘の案件において、案件終了後のACTHが155時間10分だった場合の税込請求額は提案書内で記載の見込税込金額と比べて何円の減額になりますか。,,document_whole_context
test,24,分析データの中で、1つでも欠損値がある行数が最も多い案件を、主略称で答えてください。,,fallback_bm25_llm
test,25,白峰信用リスク評価のtrain.xlsxにおいて、青色ハイライト部分の合計値を求めてください。四捨五入して整数で答えてください。,,format_extraction
test,26,2025-08-15 から 2025-09-07 の間に契約期間が重なっている案件の中で、契約期間が 40日 を超えている案件を、主略称ですべて挙げてください。,,fallback_bm25_llm
test,27,恒一会 かえで総合病院の提案書において、スコープ対象外としている項目はいくつありますか。,,document_whole_context
test,28,蒼樹会 みなみ野女性医療センターの分析結果として予測に影響が高いと報告されている特徴量の中で、最もターゲットとの相関が高い特徴量を答えてください。,,fallback_bm25_llm
test,29,恒一会 かえで総合病院のtrain.xlsx内のTPのヒストグラムで、3番目にカウント数が多いビンの範囲を小数第6位までで答えてください。,,table_calculation
test,30,青葉与信マネジメントの分析対象データにおいて、標準化されたloan_amntが0未満の行のうち、purpose=credit_cardに該当し、かつloan_amntがpurpose=credit_card全体の平均を上回る行の割合は何%ですか。小数第2位まで答えてください。,,table_calculation
test,31,固定金額契約の中で、分析データ1行あたりの契約金額（税込）が最も高い案件を、主略称と1行あたりの金額で答えてください。1行あたりの金額は円単位で切り上げてください。,,fallback_bm25_llm
test,32,青嶺不動産アセットマネジメントの分析出力 metrics.json の feature_selection.selected_columns に含まれている列のうち、分析コードで生成された数値交互作用特徴量の列名をすべて答えてください。,,code_reading
test,33,青潮モビリティサービスの基礎分析.docxのグラフ2で、x=3のときの青色の折れ線のyの値を小数第5位で答えてください。,,image_ocr
test,34,MINAMINOにおいて、M01時点では未完了で、M02までの間に完了したAIのうち、伊藤さんが担当しているものを抽出してください。,,fallback_bm25_llm
test,35,京橋信用ソリューションズの京橋信用ソリューションズ株式会社_最終報告.pptxにおいて、F1スコアにてgradient_boostingに次ぐ順位のモデルの Accuracy はいくつですか。,,fallback_bm25_llm
test,36,恒一会 かえで総合病院案件において、中間報告時点のF1スコア実測値と最終報告時点のF1スコア実測値の差を絶対値で答えてください。,,fallback_bm25_llm
test,37,AOBMにおいて、見込金額（税込）と確定金額（税込）の差を、ESTHとACTHの差で割った1時間あたりの減少金額を計算してください。,,fallback_bm25_llm
test,38,社内管理のAPRに照らして、APR-M3が必要な案件を主略称ですべて挙げ、それらの契約金額（税込）の合計を答えてください。,,table_calculation
test,39,青潮モビリティサービスのtrain.xlsxのSheet1にあるグラフ1はどのカラムを可視化したものですか。,,image_ocr
test,40,2026年7月1日時点で存在する案件について、支払月ごとの精算総額が多い月を上位3つ、総額とあわせて答えてください。,,fallback_bm25_llm
test,41,AOBMのPLANにおいて、加藤さんが担当者に含まれるタスクIDはいくつありますか。,,fallback_bm25_llm
test,42,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet1において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,format_extraction
test,43,東都のCTにおいて、甲側の主担当者をフルネームで教えてください。,,fallback_bm25_llm
test,44,IMにあるFMにおいて、佐藤さんから見て右側に座っている人の名前をすべて挙げてください。,,fallback_bm25_llm
test,45,京橋信用ソリューションズの会議録_2025-10-29.pdfと会議録_2025-11-11.pdfにおいて、会議ID M2 から M3 にかけて完了したアクションアイテムのIDをすべて挙げてください。,,document_whole_context
test,46,着手金が最も高い案件について、その案件のESの内線番号を教えてください。,,fallback_bm25_llm
test,47,青嶺不動産アセットマネジメントのtrain.xlsxにおいて、黄色ハイライトセルは予測と実際の誤差を計算していますが、その予測値の対象となっている不動産の建設年を算出してください。,,format_extraction
test,48,青嶺不動産アセットマネジメントのニューヨーク不動産市場の最新動向調査.pdfにおいて、提案されているマンション税の新税率のうち、現行税率からの絶対値の増加が最も小さい価格帯はどこですか。,,fallback_bm25_llm
test,49,東都人材プラットフォームの会議録において、コメントがついている部分をそのまま抽出してください。,,document_whole_context
test,50,東都人材プラットフォームのデータサイエンティスト調査において、Salary.com が公表しているデータサイエンティストの年間基本給について、上位90%の層と中央値の差はいくらですか。,,fallback_bm25_llm
test,51,白峰信用リスク評価の提案書.pptxにおいて、モデルの高度化（説明性・セグメント分析）の実行予定スケジュールは案件開始から第何週目に実施予定でしょうか。,,document_whole_context
test,52,蒼樹会 みなみ野女性医療センターの今後の運用に関する記載の中で、データアステル側の役割として「別契約」と明記されているものを抽出してください。,,fallback_bm25_llm
test,53,TOTOのFR書にて記載のある選択特徴量のうち、ENG-FTはいくつありますか。,,fallback_bm25_llm
test,54,青潮モビリティサービスの基礎分析.docxのグラフ1で、x=3のときのyの値を小数第5位で答えてください。,,image_ocr
test,55,事後精算案件のうち、提案時の見積工数と最終報告で報告されている実績工数の乖離が最も大きい案件を主略称で挙げてください。,,fallback_bm25_llm
test,56,蒼泉会 ひがし丘総合病院の01_eda.ipynbにおける目的変数分析の可視化において、y軸に実際に表示されている目盛りの最大値は何ですか。,,table_calculation
test,57,青葉のTXにて算出された回帰係数を用いて全データの予測値を計算し、正解データに対する F1 スコアが最大となるように閾値を設定したときの F1 スコアを答えてください。小数第5位まで求めてください。,,table_calculation
test,58,社内管理フォルダにあるFMにおいて、井上さんの向かいに座っている方のEXTを教えてください。,,fallback_bm25_llm
test,59,京ソのPP_final.pptxにおいて、この案件にかかる金額の提示がまとまっているのは何ページですか。,,fallback_bm25_llm
test,60,白峰信用リスク評価の最終報告資料内で未完事項として挙げられているIDをすべて抽出してください。,,document_whole_context
test,61,京橋信用ソリューションズの分析コードにおいて、今回の学習で勾配ブースティング法のモデルに実際に渡される n_estimators、learning_rate、random_state はそれぞれいくつですか。設定ファイルに明示されていない値がある場合も、実行時にコード上で適用される値を含めて答えてください。,,code_reading
test,62,青葉与信マネジメントの最終報告資料における、モデル比較で上位2件のスコア差を生んでいる設定差分は何ですか。,,diff_check
test,63,青葉与信マネジメントのtrain.xlsxにて算出された回帰係数を使ってid=0を予測した場合の予測値はいくらになりますか。小数第5位まで求めてください。,,table_calculation
test,64,青潮モビリティサービスの最終報告PDFにおいて、将来のフェーズAとフェーズBを実施した場合の想定工数は合計で何時間ですか。,,table_calculation
test,65,白峰信用リスク評価のtrain.xlsxにおいて、表示されている相関係数シートで、黄色ハイライトになっているセルの条件を答えてください。,,format_extraction
test,66,京橋信用ソリューションズのEDAの日付分析の可視化において、件数が最も高いのは何日ですか。,,table_calculation
test,67,完了案件のうち、社内管理のAPRでAPR-M2に該当する案件の中で、提案時金額とFR時の金額が異なる案件を案件略称ですべて挙げてください。,,fallback_bm25_llm
test,68,東都人材プラットフォームのデータサイエンス市場の未来予測.pdfにおいて、投資実装係数の計算式が記載されているページの数値情報を式に代入し、投資実装係数を小数で答えてください。,,fallback_bm25_llm
test,69,白峰信用リスク評価の最終報告資料において、パイロット運用は本番化スケジュール上で第何週目から第何週目に実施予定ですか。,,document_whole_context
test,70,白峰信用リスク評価の5月27日の報告資料で Open として優先フォロー対象に挙げられているアクションIDの中で、会議録において完了となっていないIDを上げてください。,,document_whole_context
test,71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,,format_extraction
test,72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,,fallback_bm25_llm
test,73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,,fallback_bm25_llm
test,74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,,diff_check
test,75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,,fallback_bm25_llm
test,76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。",,fallback_bm25_llm
test,77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,,format_extraction
test,78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,,fallback_bm25_llm
test,79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,,fallback_bm25_llm
test,80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,,format_extraction
test,81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,,format_extraction
test,82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,,format_extraction
test,83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,,table_calculation
test,84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,,document_whole_context
test,85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,,fallback_bm25_llm
test,86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,,document_whole_context
test,87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,,fallback_bm25_llm
test,88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,,document_whole_context
test,89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,,table_calculation
test,90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,,table_calculation
test,91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,,fallback_bm25_llm
test,92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,,table_calculation
test,93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,,fallback_bm25_llm
test,94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,,table_calculation
test,95,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,,diff_check
test,96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,,fallback_bm25_llm
test,97,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,,format_extraction
test,98,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,,diff_check
test,99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,,fallback_bm25_llm
